Date,equity,position
2008-12-08,4714972.0,0
2008-12-09,4714972.0,0
2008-12-10,4714972.0,0
2008-12-11,4714972.0,0
2008-12-12,4714972.0,0
2008-12-15,4714972.0,0
2008-12-16,4714972.0,0
2008-12-17,4714972.0,0
2008-12-18,4714972.0,0
2008-12-19,4714972.0,0
2008-12-22,4714972.0,0
2008-12-23,4714972.0,0
2008-12-24,4714972.0,0
2008-12-26,4714972.0,0
2008-12-29,4714972.0,0
2008-12-30,4714972.0,0
2008-12-31,4714972.0,0
2009-01-02,4714972.0,0
2009-01-05,4714972.0,0
2009-01-06,4714972.0,0
2009-01-07,4714972.0,0
2009-01-08,4714972.0,0
2009-01-09,4714972.0,0
2009-01-12,4714972.0,0
2009-01-13,4714972.0,0
2009-01-14,4714972.0,0
2009-01-15,4714972.0,0
2009-01-16,4714972.0,0
2009-01-20,4714972.0,0
2009-01-21,4714972.0,0
2009-01-22,4714972.0,0
2009-01-23,4714972.0,0
2009-01-26,4714972.0,0
2009-01-27,4714972.0,0
2009-01-28,4714972.0,0
2009-01-29,4714972.0,0
2009-01-30,4714972.0,0
2009-02-02,4714972.0,0
2009-02-03,4714972.0,0
2009-02-04,4714972.0,0
2009-02-05,4714972.0,0
2009-02-06,4714972.0,0
2009-02-09,4714972.0,0
2009-02-10,4714972.0,0
2009-02-11,4714972.0,0
2009-02-12,4714972.0,0
2009-02-13,4714972.0,0
2009-02-17,4714972.0,0
2009-02-18,4714972.0,0
2009-02-19,4714972.0,0
2009-02-20,4714972.0,0
2009-02-23,4714972.0,0
2009-02-24,4714972.0,0
2009-02-25,4714972.0,0
2009-02-26,4714972.0,0
2009-02-27,4714972.0,0
2009-03-02,4714972.0,0
2009-03-03,4714972.0,0
2009-03-04,4714972.0,0
2009-03-05,4714972.0,0
2009-03-06,4714972.0,0
2009-03-09,4714972.0,0
2009-03-10,4714972.0,0
2009-03-11,4714972.0,0
2009-03-12,4714972.0,0
2009-03-13,4714972.0,0
2009-03-16,4714972.0,0
2009-03-17,4714972.0,0
2009-03-18,4714972.0,0
2009-03-19,4714972.0,0
2009-03-20,4714972.0,0
2009-03-23,4714972.0,0
2009-03-24,4714972.0,0
2009-03-25,4714972.0,0
2009-03-26,4714972.0,0
2009-03-27,4714972.0,0
2009-03-30,4714972.0,0
2009-03-31,4714972.0,0
2009-04-01,4714972.0,0
2009-04-02,4714972.0,0
2009-04-03,4714972.0,0
2009-04-06,4714972.0,0
2009-04-07,4714972.0,0
2009-04-08,4714972.0,0
2009-04-09,4714972.0,0
2009-04-13,4714972.0,0
2009-04-14,4714972.0,0
2009-04-15,4714972.0,0
2009-04-16,4714972.0,0
2009-04-17,4714972.0,0
2009-04-20,4714972.0,0
2009-04-21,4714972.0,0
2009-04-22,4714972.0,0
2009-04-23,4714972.0,0
2009-04-24,4714972.0,0
2009-04-27,4714972.0,0
2009-04-28,4714972.0,0
2009-04-29,4714972.0,0
2009-04-30,4714972.0,0
2009-05-01,4714972.0,0
2009-05-04,4714972.0,0
2009-05-05,4714972.0,0
2009-05-06,4714972.0,0
2009-05-07,4282396.0,39714695
2009-05-08,4289584.0,39714695
2009-05-11,4334422.0,39714695
2009-05-12,4175127.0,39714695
2009-05-13,3838902.0,39714695
2009-05-14,3967657.0,39714695
2009-05-15,3960230.0,39714695
2009-05-18,4269727.0,39714695
2009-05-19,4329299.0,39714695
2009-05-20,4283667.0,39714695
2009-05-21,4047166.0,39714695
2009-05-22,4007213.0,39714695
2009-05-26,4454956.0,39714695
2009-05-27,4362421.0,39714695
2009-05-28,4513655.0,39714695
2009-05-29,4679940.0,39714695
2009-06-01,5080383.0,39714695
2009-06-02,5100956.0,39714695
2009-06-03,5054370.0,39714695
2009-06-04,5225104.0,39714695
2009-06-05,5241824.0,39714695
2009-06-08,5194404.0,39714695
2009-06-09,5312992.0,39714695
2009-06-10,5256518.0,39714695
2009-06-11,5256121.0,39714695
2009-06-12,5182966.0,39714695
2009-06-15,4864375.0,39714695
2009-06-16,4721760.0,39714695
2009-06-17,4856869.0,39714695
2009-06-18,4828116.0,39714695
2009-06-19,4983201.0,39714695
2009-06-22,4536332.0,39714695
2009-06-23,4504957.0,39714695
2009-06-24,4732443.0,39714695
2009-06-25,5011359.0,39714695
2009-06-26,5044124.0,39714695
2009-06-29,5077047.0,39714695
2009-06-30,5047420.0,39714695
2009-07-01,5055403.0,39714695
2009-07-02,4721720.0,39714695
2009-07-06,4645785.0,39714695
2009-07-07,4299116.0,39714695
2009-07-08,4366035.0,39714695
2009-07-09,4388355.0,39714695
2009-07-10,4444869.0,39714695
2009-07-13,4700393.0,39714695
2009-07-14,4751585.0,39714695
2009-07-15,5230147.0,39714695
2009-07-16,5416767.0,39714695
2009-07-17,5503385.0,39714695
2009-07-20,5661250.0,39714695
2009-07-21,5777297.0,39714695
2009-07-22,5922176.0,39714695
2009-07-23,6314001.0,39714695
2009-07-24,6169162.0,39714695
2009-07-27,6310903.0,39714695
2009-07-28,6180560.0,39714695
2009-07-29,6303517.0,39714695
2009-07-30,6413645.0,39714695
2009-07-31,6354828.0,39714695
2009-08-03,6639503.0,39714695
2009-08-04,6639066.0,39714695
2009-08-05,6484377.0,39714695
2009-08-06,6312571.0,39714695
2009-08-07,6552607.0,39714695
2009-08-10,6414122.0,39714695
2009-08-11,6248472.0,39714695
2009-08-12,6539263.0,39714695
2009-08-13,6647088.0,39714695
2009-08-14,6417815.0,39714695
2009-08-17,5858672.0,39714695
2009-08-18,6109471.0,39714695
2009-08-19,6235843.0,39714695
2009-08-20,6454353.0,39714695
2009-08-21,6712022.0,39714695
2009-08-24,6691569.0,39714695
2009-08-25,6750982.0,39714695
2009-08-26,6715398.0,39714695
2009-08-27,6764922.0,39714695
2009-08-28,6784541.0,39714695
2009-08-31,6577707.0,39714695
2009-09-01,6207526.0,39714695
2009-09-02,6192871.0,39714695
2009-09-03,6315550.0,39714695
2009-09-04,6722705.0,39714695
2009-09-08,6912144.0,39714695
2009-09-09,7089828.0,39714695
2009-09-10,7291221.0,39714695
2009-09-11,7311793.0,39714695
2009-09-14,7395829.0,39714695
2009-09-15,7464536.0,39714695
2009-09-16,7790752.0,39714695
2009-09-17,7784676.0,39714695
2009-09-18,7823279.0,39714695
2009-09-21,7894646.0,39714695
2009-09-22,7938610.0,39714695
2009-09-23,7826376.0,39714695
2009-09-24,7615690.0,39714695
2009-09-25,7414217.0,39714695
2009-09-28,7792420.0,39714695
2009-09-29,7687176.0,39714695
2009-09-30,7703023.0,39714695
2009-10-01,7018818.0,39714695
2009-10-02,6956704.0,39714695
2009-10-05,7124737.0,39714695
2009-10-06,7502900.0,39714695
2009-10-07,7566801.0,39714695
2009-10-08,7663467.0,39714695
2009-10-09,7793572.0,39714695
2009-10-12,7842620.0,39714695
2009-10-13,7847624.0,39714695
2009-10-14,8167764.0,39714695
2009-10-15,8110456.0,39714695
2009-10-16,7951716.0,39714695
2009-10-19,8190997.0,39714695
2009-10-20,8196120.0,39714695
2009-10-21,8150091.0,39714695
2009-10-22,8245883.0,39714695
2009-10-23,8142545.0,39714695
2009-10-26,8062719.0,39714695
2009-10-27,7696470.0,39714695
2009-10-28,7177875.0,39714695
2009-10-29,7541622.0,39714695
2009-10-30,6933670.0,39714695
2009-11-02,7019572.0,39714695
2009-11-03,7085658.0,39714695
2009-11-04,7121242.0,39714695
2009-11-05,7648018.0,39714695
2009-11-06,7782968.0,39714695
2009-11-09,8281229.0,39714695
2009-11-10,8343502.0,39714695
2009-11-11,8503631.0,39714695
2009-11-12,8357759.0,39714695
2009-11-13,8564037.0,39714695
2009-11-16,8826154.0,39714695
2009-11-17,8908959.0,39714695
2009-11-18,8758560.0,39714695
2009-11-19,8349181.0,39714695
2009-11-20,8222411.0,39714695
2009-11-23,8619360.0,39714695
2009-11-24,8530915.0,39714695
2009-11-25,8640885.0,39714695
2009-11-27,8247193.0,39714695
2009-11-30,8275113.0,39714695
2009-12-01,8531034.0,39714695
2009-12-02,8565348.0,39714695
2009-12-03,8459826.0,39714695
2009-12-04,8592274.0,39714695
2009-12-07,8469000.0,39714695
2009-12-08,8312246.0,39714695
2009-12-09,8563084.0,39714695
2009-12-10,8690767.0,39714695
2009-12-11,8590130.0,39714695
2009-12-14,8834812.0,39714695
2009-12-15,8685524.0,39714695
2009-12-16,8720235.0,39714695
2009-12-17,8401207.0,39714695
2009-12-18,8811420.0,39714695
2009-12-21,9108129.0,39714695
2009-12-22,9271634.0,39714695
2009-12-23,9473941.0,39714695
2009-12-24,9735343.0,39714695
2009-12-28,9887132.0,39714695
2009-12-29,9764573.0,39714695
2009-12-30,9853017.0,39714695
2009-12-31,9583474.0,39714695
2010-01-04,10003893.0,39714695
2010-01-05,10003258.0,39714695
2010-01-06,9821563.0,39714695
2010-01-07,9840110.0,39714695
2010-01-08,10082409.0,39714695
2010-01-11,9958301.0,39714695
2010-01-12,9583911.0,39714695
2010-01-13,9941263.0,39714695
2010-01-14,9966363.0,39714695
2010-01-15,9617668.0,39714695
2010-01-19,10082727.0,39714695
2010-01-20,9647057.0,39714695
2010-01-21,9375448.0,39714695
2010-01-22,8552480.0,39714695
2010-01-25,8639098.0,39714695
2010-01-26,8661934.0,39714695
2010-01-27,8866425.0,39714695
2010-01-28,8181545.0,39714695
2010-01-29,7752666.0,39714695
2010-02-01,8007634.0,39714695
2010-02-02,8223643.0,39714695
2010-02-03,8358752.0,39714695
2010-02-04,7632608.0,39714695
2010-02-05,7825503.0,39714695
2010-02-08,7655643.0,39714695
2010-02-09,7891985.0,39714695
2010-02-10,7842024.0,39714695
2010-02-11,8196954.0,39714695
2010-02-12,8230513.0,39714695
2010-02-16,8549303.0,39714695
2010-02-17,8694381.0,39714695
2010-02-18,8859237.0,39714695
2010-02-19,8859237.0,39714695
2010-02-22,8797043.0,39714695
2010-02-23,8453591.0,39714695
2010-02-24,8709234.0,39714695
2010-02-25,8704230.0,39714695
2010-02-26,8812850.0,39714695
2010-03-01,9190854.0,39714695
2010-03-02,9246097.0,39714695
2010-03-03,9297488.0,39714695
2010-03-04,9400111.0,39714695
2010-03-05,9815606.0,39714695
2010-03-08,9867950.0,39714695
2010-03-09,10042615.0,39714695
2010-03-10,10288370.0,39714695
2010-03-11,10383129.0,39714695
2010-03-12,10406799.0,39714695
2010-03-15,10336742.0,39714695
2010-03-16,10532178.0,39714695
2010-03-17,10605214.0,39714695
2010-03-18,10712801.0,39714695
2010-03-19,10523282.0,39714695
2010-03-22,10807520.0,39714695
2010-03-23,11033576.0,39714695
2010-03-24,10876624.0,39714695
2010-03-25,10808513.0,39714695
2010-03-26,10864789.0,39714695
2010-03-29,11013838.0,39714695
2010-03-30,11129329.0,39714695
2010-03-31,10979286.0,39714695
2010-04-01,10957562.0,39714695
2010-04-05,11274406.0,39714695
2010-04-06,11360269.0,39714695
2010-04-07,11296130.0,39714695
2010-04-08,11336600.0,39714695
2010-04-09,11540852.0,39714695
2010-04-12,11587279.0,39714695
2010-04-13,11761984.0,39714695
2010-04-14,12176486.0,39714695
2010-04-15,12339356.0,39714695
2010-04-16,11900111.0,39714695
2010-04-19,11881406.0,39714695
2010-04-20,12057064.0,39714695
2010-04-21,12269259.0,39714695
2010-04-22,12450914.0,39714695
2010-04-23,12615730.0,39714695
2010-04-26,12521964.0,39714695
2010-04-27,11749116.0,39714695
2010-04-28,11776757.0,39714695
2010-04-29,12377879.0,39714695
2010-04-30,11648479.0,39714695
2010-05-03,12124182.0,39714695
2010-05-04,11052322.0,39714695
2010-05-05,10870706.0,39714695
2010-05-06,9805757.0,39714695
2010-05-07,9092163.0,39714695
2010-05-10,10448261.0,39714695
2010-05-11,10441391.0,39714695
2010-05-12,11003989.0,39714695
2010-05-13,10506523.0,39714695
2010-05-14,9860007.0,39714695
2010-05-17,9993290.0,39714695
2010-05-18,9611314.0,39714695
2010-05-19,9357656.0,39714695
2010-05-20,8411136.0,39714695
