Date,equity,cash,is_month_start,rebalanced,rebalance_reason,sso_close,sso_shares,sso_weight,sso_signal_today,sso_pending_intent,sso_pending_reason,sso_pending_delta,sso_executed_intent,sso_exec_side,sso_exec_shares,sso_exec_price,qld_close,qld_shares,qld_weight,qld_signal_today,qld_pending_intent,qld_pending_reason,qld_pending_delta,qld_executed_intent,qld_exec_side,qld_exec_shares,qld_exec_price
2023-08-21,172129447,20,False,False,,27.631117,2939894,0.4719,hold,,,0.0,,,0,0.0,30.56072,2974304,0.5281,hold,,,0.0,,,0,0.0
2023-08-22,171375395,20,False,False,,27.469839,2939894,0.4712,hold,,,0.0,,,0,0.0,30.46661,2974304,0.5288,hold,,,0.0,,,0,0.0
2023-08-23,175971143,20,False,False,,28.070944,2939894,0.469,hold,,,0.0,,,0,0.0,31.41761,2974304,0.531,hold,,,0.0,,,0,0.0
2023-08-24,169576477,20,False,False,,27.293909,2939894,0.4732,hold,,,0.0,,,0,0.0,30.035685,2974304,0.5268,hold,,,0.0,,,0,0.0
2023-08-25,172112493,20,False,False,,27.660431,2939894,0.4725,hold,,,0.0,,,0,0.0,30.526045,2974304,0.5275,hold,,,0.0,,,0,0.0
2023-08-28,174517031,20,False,False,,28.012297,2939894,0.4719,hold,,,0.0,,,0,0.0,30.986687,2974304,0.5281,hold,,,0.0,,,0,0.0
2023-08-29,180835836,20,False,False,,28.818657,2939894,0.4685,hold,,,0.0,,,0,0.0,32.314121,2974304,0.5315,hold,,,0.0,,,0,0.0
2023-08-30,182557447,20,False,False,,29.043457,2939894,0.4677,hold,,,0.0,,,0,0.0,32.67075,2974304,0.5323,hold,,,0.0,,,0,0.0
2023-08-31,182712783,20,False,False,,28.935942,2939894,0.4656,hold,,,0.0,,,0,0.0,32.829247,2974304,0.5344,hold,,,0.0,,,0,0.0
2023-09-01,182910629,20,True,False,,29.048344,2939894,0.4669,hold,,,0.0,,,0,0.0,32.784664,2974304,0.5331,hold,,,0.0,,,0,0.0
2023-09-05,182325951,20,False,False,,28.78933,2939894,0.4642,hold,,,0.0,,,0,0.0,32.844105,2974304,0.5358,hold,,,0.0,,,0,0.0
2023-09-06,179424206,20,False,False,,28.388599,2939894,0.4652,hold,,,0.0,,,0,0.0,32.264595,2974304,0.5348,hold,,,0.0,,,0,0.0
2023-09-07,177448872,20,False,False,,28.207783,2939894,0.4673,hold,,,0.0,,,0,0.0,31.779186,2974304,0.5327,hold,,,0.0,,,0,0.0
