Date,equity,cash,rebalanced,rebalance_reason,sso_value,sso_weight,sso_signal,sso_shares,sso_avg_price,sso_realized_pnl,sso_unrealized_pnl,qld_value,qld_weight,qld_signal,qld_shares,qld_avg_price,qld_realized_pnl,qld_unrealized_pnl,drawdown_pct,sso_current_price,sso_return_pct,sso_contribution,qld_current_price,qld_return_pct,qld_contribution,total_pnl,total_return_pct
2019-01-25,62962690,62962690,False,,0,0.0,sell,0,0.0,18389878,0,0,0.0,sell,0,0.0,34572812,0,-25.37,0.0,0.0,18389878,0.0,0.0,34572812,52962690.26675475,529.6269026675475
2019-01-28,62962690,62962690,False,,0,0.0,sell,0,0.0,18389878,0,0,0.0,sell,0,0.0,34572812,0,-25.37,0.0,0.0,18389878,0.0,0.0,34572812,52962690.26675475,529.6269026675475
2019-01-29,62962690,62962690,False,,0,0.0,sell,0,0.0,18389878,0,0,0.0,sell,0,0.0,34572812,0,-25.37,0.0,0.0,18389878,0.0,0.0,34572812,52962690.26675475,529.6269026675475
2019-01-30,62962690,62962690,False,,0,0.0,sell,0,0.0,18389878,0,0,0.0,sell,0,0.0,34572812,0,-25.37,0.0,0.0,18389878,0.0,0.0,34572812,52962690.26675475,529.6269026675475
2019-01-31,62962690,62962690,False,,0,0.0,sell,0,0.0,18389878,0,0,0.0,sell,0,0.0,34572812,0,-25.37,0.0,0.0,18389878,0.0,0.0,34572812,52962690.26675475,529.6269026675475
2019-02-01,62962690,62962690,False,,0,0.0,sell,0,0.0,18389878,0,0,0.0,sell,0,0.0,34572812,0,-25.37,0.0,0.0,18389878,0.0,0.0,34572812,52962690.26675475,529.6269026675475
2019-02-04,62962690,62962690,False,,0,0.0,sell,0,0.0,18389878,0,0,0.0,sell,0,0.0,34572812,0,-25.37,0.0,0.0,18389878,0.0,0.0,34572812,52962690.26675475,529.6269026675475
2019-02-05,62962690,62962690,False,,0,0.0,sell,0,0.0,18389878,0,0,0.0,sell,0,0.0,34572812,0,-25.37,0.0,0.0,18389878,0.0,0.0,34572812,52962690.26675475,529.6269026675475
2019-02-06,62962690,62962690,False,,0,0.0,sell,0,0.0,18389878,0,0,0.0,sell,0,0.0,34572812,0,-25.37,0.0,0.0,18389878,0.0,0.0,34572812,52962690.26675475,529.6269026675475
2019-02-07,62962690,62962690,False,,0,0.0,sell,0,0.0,18389878,0,0,0.0,sell,0,0.0,34572812,0,-25.37,0.0,0.0,18389878,0.0,0.0,34572812,52962690.26675475,529.6269026675475
2019-02-08,62962690,62962690,False,,0,0.0,sell,0,0.0,18389878,0,0,0.0,sell,0,0.0,34572812,0,-25.37,0.0,0.0,18389878,0.0,0.0,34572812,52962690.26675475,529.6269026675475
2019-02-11,62962690,62962690,False,,0,0.0,sell,0,0.0,18389878,0,0,0.0,sell,0,0.0,34572812,0,-25.37,0.0,0.0,18389878,0.0,0.0,34572812,52962690.26675475,529.6269026675475
2019-02-12,62962690,62962690,False,,0,0.0,sell,0,0.0,18389878,0,0,0.0,sell,0,0.0,34572812,0,-25.37,0.0,0.0,18389878,0.0,0.0,34572812,52962690.26675475,529.6269026675475
2019-02-13,62962690,62962690,False,,0,0.0,sell,0,0.0,18389878,0,0,0.0,sell,0,0.0,34572812,0,-25.37,0.0,0.0,18389878,0.0,0.0,34572812,52962690.26675475,529.6269026675475
2019-02-14,62962690,62962690,False,,0,0.0,sell,0,0.0,18389878,0,0,0.0,sell,0,0.0,34572812,0,-25.37,0.0,0.0,18389878,0.0,0.0,34572812,52962690.26675475,529.6269026675475
2019-02-15,62962690,62962690,False,,0,0.0,sell,0,0.0,18389878,0,0,0.0,sell,0,0.0,34572812,0,-25.37,0.0,0.0,18389878,0.0,0.0,34572812,52962690.26675475,529.6269026675475
2019-02-19,62962690,62962690,False,,0,0.0,sell,0,0.0,18389878,0,0,0.0,sell,0,0.0,34572812,0,-25.37,0.0,0.0,18389878,0.0,0.0,34572812,52962690.26675475,529.6269026675475
2019-02-20,62962690,62962690,False,,0,0.0,sell,0,0.0,18389878,0,0,0.0,sell,0,0.0,34572812,0,-25.37,0.0,0.0,18389878,0.0,0.0,34572812,52962690.26675475,529.6269026675475
2019-02-21,62962690,62962690,False,,0,0.0,buy,0,0.0,18389878,0,0,0.0,sell,0,0.0,34572812,0,-25.37,0.0,0.0,18389878,0.0,0.0,34572812,52962690.26675475,529.6269026675475
2019-02-22,63091875,31481358,False,,31610517,0.501,buy,2293038,13.729093,18389878,129185,0,0.0,sell,0,0.0,34572812,0,-25.22,13.785431,0.4103542210908806,18519063,0.0,0.0,34572812,53091875.24210444,530.9187524210445
2019-02-25,63202170,31481358,False,,31720812,0.5019,buy,2293038,13.729093,18389878,239480,0,0.0,sell,0,0.0,34572812,0,-25.09,13.833531,0.7607051124075559,18629359,0.0,0.0,34572812,53202170.36990444,532.0217036990445
2019-02-26,63122217,31481358,False,,31640859,0.5013,buy,2293038,13.729093,18389878,159526,0,0.0,sell,0,0.0,34572812,0,-25.18,13.798663,0.5067334933133827,18549405,0.0,0.0,34572812,53122216.72092044,531.2221672092045
2019-02-27,63100151,31481358,False,,31618793,0.5011,buy,2293038,13.729093,18389878,137461,0,0.0,buy,0,0.0,34572812,0,-25.21,13.78904,0.43664146364310596,18527339,0.0,0.0,34572812,53100150.81624644,531.0015081624643
2019-02-28,62898573,1,True,daily,31390113,0.4991,buy,2288027,13.729093,18389797,-22423,31508459,0.5009,buy,3056941,10.320799,34572812,-41613,-25.45,13.719293,-0.07138189637069248,18367374,10.307186,-0.13189664173228755,34531198,52898572.78538544,528.9857278538544
2019-03-01,63804008,1,False,,31835836,0.499,buy,2288027,13.729093,18389797,423301,31968171,0.501,buy,3056941,10.320799,34572812,418098,-24.38,13.9141,1.347553781066435,18813098,10.457569,1.3251901894674623,34990910,53804008.41957743,538.0400841957743
2019-03-04,63527560,1,False,,31574461,0.497,buy,2288027,13.729093,18389797,161926,31953098,0.503,buy,3056941,10.320799,34572812,403025,-24.7,13.799864,0.5154813398928315,18551723,10.452638,1.277412879767259,34975837,53527559.59113444,535.2755959113443
