Date,equity,cash,rebalanced,qqq_value,qqq_weight,qqq_signal,spy_value,spy_weight,spy_signal,gld_value,gld_weight,gld_signal,drawdown_pct
2006-03-23,11326856,-108403,False,3261972,0.288,buy,3370900,0.2976,buy,4802387,0.424,buy,-1.76
2006-03-24,11434794,-108403,False,3278645,0.2867,buy,3373492,0.295,buy,4891059,0.4277,buy,-0.82
2006-03-27,11490364,-108403,False,3279438,0.2854,buy,3368569,0.2932,buy,4950760,0.4309,buy,-0.34
2006-03-28,11427170,-108403,False,3265943,0.2858,buy,3347843,0.293,buy,4921788,0.4307,buy,-0.89
2006-03-29,11598750,-108403,False,3327864,0.2869,buy,3368828,0.2904,buy,5010461,0.432,buy,0.0
2006-03-30,11737436,-108403,False,3338183,0.2844,buy,3362869,0.2865,buy,5144787,0.4383,buy,0.0
2006-03-31,11684790,-108403,False,3328658,0.2849,buy,3363645,0.2879,buy,5100889,0.4365,buy,-0.45
2006-04-03,11718652,-108403,False,3332626,0.2844,buy,3361055,0.2868,buy,5133374,0.4381,buy,-0.16
2006-04-04,11746125,-108403,False,3350887,0.2853,buy,3382559,0.288,buy,5121083,0.436,buy,0.0
2006-04-05,11818508,-108403,False,3382640,0.2862,buy,3394217,0.2872,buy,5150055,0.4358,buy,0.0
2006-04-06,11878840,-108403,False,3392166,0.2856,buy,3390590,0.2854,buy,5204488,0.4381,buy,0.0
2006-04-07,11751257,-108403,False,3359619,0.2859,buy,3356133,0.2856,buy,5143909,0.4377,buy,-1.07
2006-04-10,11840347,-108403,False,3354854,0.2833,buy,3361314,0.2839,buy,5232582,0.4419,buy,-0.32
2006-04-11,11733059,-108403,False,3327864,0.2836,buy,3332816,0.2841,buy,5180783,0.4416,buy,-1.23
2006-04-12,11776945,-108403,False,3328658,0.2826,buy,3339033,0.2835,buy,5217657,0.443,buy,-0.86
2006-04-13,11792182,-108403,False,3342153,0.2834,buy,3334629,0.2828,buy,5223802,0.443,buy,-0.73
2006-04-17,11895549,-108403,False,3307222,0.278,buy,3333333,0.2802,buy,5363397,0.4509,buy,0.0
2006-04-18,12078636,-108403,False,3370732,0.2791,buy,3386187,0.2803,buy,5430121,0.4496,buy,0.0
2006-04-19,12267007,-108403,False,3385816,0.276,buy,3392663,0.2766,buy,5596931,0.4563,buy,0.0
2006-04-20,12014814,-108403,False,3373907,0.2808,buy,3397327,0.2828,buy,5351983,0.4454,buy,-2.06
2006-04-21,12172303,-108403,False,3334216,0.2739,buy,3397846,0.2791,buy,5548644,0.4558,buy,-0.77
2006-04-24,12026825,-108403,False,3331039,0.277,buy,3391627,0.282,buy,5412562,0.45,buy,-1.96
2006-04-25,12104898,-108403,False,3323894,0.2746,buy,3377636,0.279,buy,5511770,0.4553,buy,-1.32
2006-04-26,12181263,-108403,False,3323101,0.2728,buy,3378413,0.2773,buy,5588152,0.4587,buy,-0.7
2006-04-27,12168760,-108403,False,3354854,0.2757,buy,3394735,0.279,buy,5527573,0.4542,buy,-0.8
2006-04-28,12334614,-108403,False,3322304,0.2693,buy,3406136,0.2761,buy,5714576,0.4633,buy,0.0
2006-05-01,12280489,-108403,False,3289756,0.2679,buy,3378413,0.2751,buy,5720723,0.4658,buy,-0.44
2006-05-02,12436649,-108403,False,3298491,0.2652,buy,3403804,0.2737,buy,5842758,0.4698,buy,0.0
2006-05-03,12411290,-108403,False,3293728,0.2654,buy,3391109,0.2732,buy,5834856,0.4701,buy,-0.2
2006-05-04,12540009,-108403,False,3320720,0.2648,buy,3403285,0.2714,buy,5924407,0.4724,buy,0.0
2006-05-05,12641034,-108403,False,3346917,0.2648,buy,3433339,0.2716,buy,5969182,0.4722,buy,0.0
2006-05-08,12602314,-108403,False,3350093,0.2658,buy,3429194,0.2721,buy,5931430,0.4707,buy,-0.31
2006-05-09,12782472,-108403,False,3337390,0.2611,buy,3435929,0.2688,buy,6117556,0.4786,buy,0.0
2006-05-10,12812743,-108403,False,3308018,0.2582,buy,3434116,0.268,buy,6179012,0.4823,buy,0.0
2006-05-11,12754527,-108403,False,3234188,0.2536,buy,3392663,0.266,buy,6236079,0.4889,buy,-0.45
2006-05-12,12674464,-108403,False,3190525,0.2517,buy,3348361,0.2642,buy,6243981,0.4926,buy,-1.08
2006-05-15,12353100,-108403,False,3188145,0.2581,buy,3355096,0.2716,buy,5918261,0.4791,buy,-3.59
2006-05-16,12429713,-108403,False,3164327,0.2546,buy,3350174,0.2695,buy,6023615,0.4846,buy,-2.99
2006-05-17,12282727,-108403,False,3121461,0.2541,buy,3286440,0.2676,buy,5983229,0.4871,buy,-4.14
2006-05-18,12184131,-108403,False,3100025,0.2544,buy,3269859,0.2684,buy,5922651,0.4861,buy,-4.91
2006-05-19,12065951,-108403,False,3123842,0.2589,buy,3292916,0.2729,buy,5757596,0.4772,buy,-5.83
2006-05-22,11986071,-108403,False,3093675,0.2581,buy,3267785,0.2726,buy,5733014,0.4783,buy,-6.45
2006-05-23,12025849,-108403,False,3063507,0.2547,buy,3242914,0.2697,buy,5827832,0.4846,buy,-6.14
2006-05-24,11868715,-108403,False,3084148,0.2599,buy,3268822,0.2754,buy,5624148,0.4739,buy,-7.37
2006-05-25,12005807,-108403,False,3124635,0.2603,buy,3309239,0.2756,buy,5680336,0.4731,buy,-6.3
2006-05-26,12068086,-108403,False,3134956,0.2598,buy,3326079,0.2756,buy,5715454,0.4736,buy,-5.81
2006-05-30,11942417,-108403,False,3067478,0.2569,buy,3267009,0.2736,buy,5716333,0.4787,buy,-6.79
2006-05-31,11915976,-108403,False,3081766,0.2586,buy,3303539,0.2772,buy,5639073,0.4732,buy,-7.0
2006-06-01,11874001,-108403,False,3154801,0.2657,buy,3335147,0.2809,buy,5492455,0.4626,buy,-7.33
2006-06-02,11955586,-108403,False,3146863,0.2632,buy,3342143,0.2795,buy,5574982,0.4663,buy,-6.69
2006-06-05,11820169,-108403,False,3078591,0.2605,buy,3293436,0.2786,buy,5556546,0.4701,buy,-7.75
2006-06-06,11744788,-108403,False,3076210,0.2619,buy,3285404,0.2797,buy,5491577,0.4676,buy,-8.34
2006-06-07,11673449,-108403,False,3053189,0.2615,buy,3260791,0.2793,buy,5467873,0.4684,buy,-8.89
2006-06-08,11545555,-108403,False,3048423,0.264,buy,3257941,0.2822,buy,5347593,0.4632,buy,-9.89
2006-06-09,11474960,-108403,False,3028578,0.2639,sell,3247578,0.283,buy,5307208,0.4625,buy,-10.44
2006-06-12,11397724,2915046,False,0,0.0,sell,3212344,0.2818,buy,5270334,0.4624,buy,-11.04
2006-06-13,10999578,2915046,False,0,0.0,sell,3175036,0.2887,buy,4909496,0.4463,buy,-14.15
2006-06-14,10997852,2915046,False,0,0.0,sell,3199648,0.2909,buy,4883158,0.444,buy,-14.16
