Date,Open,High,Low,Close,change_pct
2008-04-08,32.134568,32.393551,32.005074,32.227711,-0.55
2008-04-09,32.118676,32.232265,31.591619,31.725655,-1.56
2008-04-10,31.961919,32.31859,31.675672,32.180012,1.43
2008-04-11,31.857419,32.030076,31.50529,31.65523,-1.63
2008-04-14,31.525739,31.846061,31.353082,31.580261,-0.24
2008-04-15,31.932399,32.016456,31.657513,31.950575,1.17
2008-04-16,32.33222,33.07737,32.327678,32.895626,2.96
2008-04-17,32.58212,32.79794,32.40719,32.657089,-0.73
2008-04-18,33.109179,33.327272,32.854738,33.15007,1.51
2008-04-21,32.99331,33.365886,32.259519,33.318176,0.51
2008-04-22,33.206853,33.261377,32.763854,33.009209,-0.93
2008-04-23,33.35453,33.504469,33.077371,33.484024,1.44
2008-04-24,33.374966,33.497643,32.78657,33.054642,-1.28
2008-04-25,33.327272,33.356803,32.816117,33.297737,0.74
2008-04-28,33.406784,33.495385,33.177333,33.234127,-0.19
2008-04-29,33.145518,33.145518,32.613918,32.645725,-1.77
2008-04-30,32.850187,33.42268,32.754772,33.318176,2.06
2008-05-01,33.304559,33.740744,33.109184,33.672588,1.06
2008-05-02,34.095142,34.138305,33.736196,33.995182,0.96
2008-05-05,33.963367,34.117851,33.786168,33.970184,-0.07
2008-05-06,33.8475,34.429079,33.690746,34.349567,1.12
2008-05-07,34.072414,34.156473,33.261383,33.327267,-2.98
2008-05-08,33.493108,33.802074,33.422683,33.670307,1.03
2008-05-09,33.365896,33.506746,33.195511,33.395428,-0.82
2008-05-12,33.445397,33.838418,33.200042,33.824787,1.29
2008-05-13,33.906577,34.056517,33.679398,33.986092,0.48
2008-05-14,34.247346,34.410917,34.001992,34.067875,0.24
2008-05-15,34.26779,34.813024,34.165561,34.792576,2.13
2008-05-16,34.974319,35.258294,34.847099,35.235577,1.27
2008-05-19,35.249199,35.771712,35.165143,35.242382,0.02
2008-05-20,34.74487,34.758501,34.433635,34.631279,-1.73
2008-05-21,34.778944,35.024298,34.158743,34.279148,-1.02
2008-05-22,34.460881,34.515405,34.15419,34.379097,0.29
2008-05-23,34.081498,34.156467,33.633952,33.779346,-1.74
2008-05-27,33.672582,33.813435,33.381793,33.724834,-0.16
2008-05-28,33.829337,34.179195,33.520374,34.179195,1.35
2008-05-29,34.210999,34.644911,34.061059,34.254162,0.22
2008-05-30,34.456359,34.649462,34.326868,34.372303,0.34
2008-06-02,34.34503,34.34503,33.74982,33.963367,-1.19
2008-06-03,33.974722,34.026974,33.215943,33.349979,-1.81
2008-06-04,33.165974,33.468123,32.997862,33.0592,-0.87
2008-06-05,33.345443,34.111038,33.247755,34.111038,3.18
2008-06-06,33.633966,33.702121,32.875187,32.875187,-3.62
2008-06-09,32.988763,33.125071,32.395825,32.791119,-0.26
2008-06-10,32.300411,32.316314,31.968728,32.034611,-2.31
2008-06-11,32.145944,32.23,31.532557,31.555275,-1.5
2008-06-12,31.793805,32.205,31.593886,31.739281,0.58
2008-06-13,31.759725,32.189095,31.58934,32.082321,1.08
2008-06-16,32.055067,32.309508,31.975556,32.191376,0.34
2008-06-17,32.529875,32.618476,32.304969,32.327686,0.42
2008-06-18,32.275423,32.416273,31.850597,32.170921,-0.48
2008-06-19,32.020986,32.323135,31.905123,32.220905,0.16
2008-06-20,31.700654,31.775623,31.107715,31.169054,-3.26
2008-06-23,31.294002,31.398504,31.125887,31.259926,0.29
2008-06-24,31.091821,31.475756,30.835107,31.121355,-0.44
2008-06-25,31.333206,32.00647,31.333206,31.744516,2.0
2008-06-26,31.22752,31.312539,30.630085,30.655361,-3.43
2008-06-27,30.797815,31.105724,30.630074,30.951771,0.97
2008-06-30,31.170081,31.291866,30.995445,31.186167,0.76
2008-07-01,30.480724,30.751868,30.06022,30.630083,-1.78
2008-07-02,30.770244,30.864457,29.683372,29.756903,-2.85
2008-07-03,30.057909,30.057909,29.393837,29.671873,-0.29
2008-07-07,29.917755,30.230258,29.297339,29.566185,-0.36
2008-07-08,29.517938,29.952229,29.1342,29.929251,1.23
2008-07-09,30.055621,30.299194,29.246786,29.324913,-2.02
2008-07-10,29.685671,30.002774,29.363977,29.855713,1.81
2008-07-11,29.623642,30.090104,29.354796,29.655813,-0.67
2008-07-14,30.069406,30.22566,28.768835,29.619032,-0.12
2008-07-15,29.164052,29.651191,28.624063,29.124989,-1.67
2008-07-16,29.122697,30.044126,28.968743,29.966002,2.89
2008-07-17,30.131447,30.381911,29.887877,30.106171,0.47
2008-07-18,29.855717,30.108477,29.740824,29.846523,-0.86
2008-07-21,30.030333,30.308372,29.982079,30.216457,1.24
2008-07-22,29.844209,30.239439,29.651192,30.234842,0.06
2008-07-23,30.386503,30.574924,30.172804,30.278503,0.14
