Date,equity,cash,rebalanced,tqqq_value,tqqq_weight,tqqq_signal,gld_value,gld_weight,gld_signal,tlt_value,tlt_weight,tlt_signal,drawdown_pct
2016-05-27,47568416,158,False,28758990,0.6046,buy,9405456,0.1977,buy,9403812,0.1977,buy,-31.73
2016-05-31,47798293,158,False,28930623,0.6053,buy,9441249,0.1975,buy,9426263,0.1972,buy,-31.4
2016-06-01,47837867,158,False,28941716,0.605,buy,9431487,0.1972,buy,9464506,0.1978,buy,-31.35
2016-06-02,48047439,158,False,29105039,0.6058,buy,9409523,0.1958,buy,9532719,0.1984,buy,-31.05
2016-06-03,48045622,158,False,28706391,0.5975,buy,9670650,0.2013,buy,9668423,0.2012,buy,-31.05
2016-06-06,48284333,158,False,29013690,0.6009,buy,9673904,0.2004,buy,9596582,0.1988,buy,-30.71
2016-06-07,48094551,158,False,28808820,0.599,buy,9665769,0.201,buy,9619804,0.2,buy,-30.98
2016-06-08,48416603,158,False,28936176,0.5976,buy,9808942,0.2026,buy,9671327,0.1998,buy,-30.52
2016-06-09,48406160,158,False,28808820,0.5951,buy,9863445,0.2038,buy,9733738,0.2011,buy,-30.53
2016-06-10,47524226,158,False,27839851,0.5858,buy,9903305,0.2084,buy,9780913,0.2058,buy,-31.8
2016-06-13,46926702,158,False,27125581,0.578,buy,9976519,0.2126,buy,9824445,0.2094,buy,-32.65
2016-06-14,46943889,158,False,27139444,0.5781,buy,9987094,0.2127,buy,9817193,0.2091,buy,-32.63
2016-06-15,46812005,158,False,26895796,0.5745,buy,10061121,0.2149,buy,9854931,0.2105,buy,-32.82
2016-06-16,46947953,158,False,27089601,0.577,buy,9955368,0.2121,buy,9902826,0.2109,buy,-32.62
