Date,equity,cash,rebalanced,rebalance_reason,sso_value,sso_weight,sso_signal,sso_shares,sso_avg_price,sso_realized_pnl,sso_unrealized_pnl,qld_value,qld_weight,qld_signal,qld_shares,qld_avg_price,qld_realized_pnl,qld_unrealized_pnl,ugl_value,ugl_weight,ugl_signal,ugl_shares,ugl_avg_price,ugl_realized_pnl,ugl_unrealized_pnl,ubt_value,ubt_weight,ubt_signal,ubt_shares,ubt_avg_price,ubt_realized_pnl,ubt_unrealized_pnl,drawdown_pct,sso_current_price,sso_return_pct,sso_contribution,qld_current_price,qld_return_pct,qld_contribution,ugl_current_price,ugl_return_pct,ugl_contribution,ubt_current_price,ubt_return_pct,ubt_contribution,total_pnl,total_return_pct
2021-08-19,88002353,30,False,,30678762,0.3486,buy,1004251,15.298459,11960269,15315270,30987283,0.3521,buy,830834,14.628912,22225309,18833086,12579550,0.1429,buy,874947,13.015112,1469006,1192017,13756727,0.1563,buy,275258,46.04151,5923964,1083433,-1.91,30.548899,99.68612374136066,27275539,37.2966,154.95128597012123,41058394,14.3775,10.46774074855714,2661024,49.977573,8.548945264174534,7007397,78002353.42699505,780.0235342699505
2021-08-20,89185189,30,False,,31179964,0.3496,buy,1004251,15.298459,11960269,15816472,31631913,0.3547,buy,830834,14.628912,22225309,19477716,12597049,0.1412,buy,874947,13.015112,1469006,1209516,13776232,0.1545,buy,275258,46.04151,5923964,1102938,-0.59,31.047979,102.9484131821958,27776741,38.072483,160.255050082999,41703024,14.3975,10.621408271768495,2678522,50.048435,8.702854205677335,7026902,79185189.26489305,791.8518926489305
2021-08-23,90970358,30,False,,31730071,0.3488,buy,1004251,15.298459,11960269,16366578,32568060,0.358,buy,830834,14.628912,22225309,20413862,12903281,0.1418,buy,874947,13.015112,1469006,1515748,13768917,0.1514,buy,275258,46.04151,5923964,1095623,0.0,31.595757000000003,106.52902227356749,28326847,39.199238,167.95729737157927,42639171,14.7475,13.310589927967055,2984754,50.021858,8.64513020778961,7019587,80970358.15097505,809.7035815097504
2021-08-24,91062362,30,False,,31822981,0.3495,buy,1004251,15.298459,11960269,16459488,32769242,0.3599,buy,830834,14.628912,22225309,20615044,12901094,0.1417,buy,874947,13.015112,1469006,1513560,13569015,0.149,buy,275258,46.04151,5923964,895721,0.0,31.688274000000003,107.13376947280958,28419757,39.441383,169.61254688872657,42840353,14.745,13.291381487565634,2982567,49.295624,7.067784010626688,6819685,81062361.65380006,810.6236165380005
2021-08-25,90814103,30,False,,31964786,0.352,buy,1004251,15.298459,11960269,16601294,32806201,0.3612,buy,830834,14.628912,22225309,20652003,12712980,0.14,buy,874947,13.015112,1469006,1325447,13330106,0.1468,buy,275258,46.04151,5923964,656812,-0.27,31.829479,108.05677095652584,28561563,39.485867,169.91662964707706,42877312,14.53,11.639455613043648,2794453,48.427677,5.182643821942379,6580775,80814102.77558504,808.1410277558505
2021-08-26,90176051,30,False,,31585823,0.3503,buy,1004251,15.298459,11960269,16222331,32424350,0.3596,buy,830834,14.628912,22225309,20270153,12747978,0.1414,buy,874947,13.015112,1469006,1360445,13417870,0.1488,buy,275258,46.04151,5923964,744576,-0.97,31.45212,105.59012376348242,28182600,39.026268,166.77491281281922,42495461,14.57,11.946790659466355,2829451,48.746521,5.875158040346107,6668540,80176051.38866206,801.7605138866205
2021-08-27,91911901,30,False,,32140824,0.3497,buy,1004251,15.298459,11960269,16777332,33060762,0.3597,buy,830834,14.628912,22225309,20906564,13124205,0.1428,buy,874947,13.015112,1469006,1736672,13586080,0.1478,buy,275258,46.04151,5923964,912786,0.0,32.004772,109.20259227365396,28737601,39.792259,172.011057407542,43131873,15.0,15.250642408510306,3205678,49.35762,7.202436415828473,6836750,81911901.17735006,819.1190117735007
2021-08-30,92884193,30,False,,32424431,0.3491,buy,1004251,15.298459,11960269,17060938,33803931,0.3639,buy,830834,14.628912,22225309,21649733,13003900,0.14,buy,874947,13.015112,1469006,1616367,13651901,0.147,buy,275258,46.04151,5923964,978607,0.0,32.287178,111.04856909466156,29021207,40.686745,178.12556532467846,43875042,14.862500000000002,14.194178186432316,3085373,49.596745,7.721804704006363,6902571,82884192.92333005,828.8419292333006
2021-08-31,92638701,30,False,,32348636,0.3492,buy,1004251,15.298459,11960269,16985144,33734134,0.3641,buy,830834,14.628912,22225309,21579937,13067333,0.1411,buy,874947,13.015112,1469006,1679800,13488567,0.1456,buy,275258,46.04151,5923964,815273,-0.26,32.211704,110.55522527551918,28945413,40.602737,177.55130526794994,43805245,14.935,14.751222958073429,3148806,49.003361,6.433002477923133,6739237,82638701.34511204,826.3870134511204
2021-09-01,92781256,30,False,,32365745,0.3488,buy,1004251,15.298459,11960269,17002253,33853202,0.3649,buy,830834,14.628912,22225309,21699004,13054209,0.1407,buy,874947,13.015112,1469006,1666676,13508069,0.1456,buy,275258,46.04151,5923964,834775,-0.11,32.228741,110.66658943598142,28962522,40.746048,178.53094748047508,43924313,14.92,14.635972315664937,3135682,49.074211,6.586885355988592,6758739,82781256.24507305,827.8125624507305
