Date,equity,cash,is_month_start,rebalanced,rebalance_reason,sso_close,sso_shares,sso_weight,sso_signal_today,sso_pending_intent,sso_pending_reason,sso_pending_delta,sso_executed_intent,sso_exec_side,sso_exec_shares,sso_exec_price,qld_close,qld_shares,qld_weight,qld_signal_today,qld_pending_intent,qld_pending_reason,qld_pending_delta,qld_executed_intent,qld_exec_side,qld_exec_shares,qld_exec_price,ugl_close,ugl_shares,ugl_weight,ugl_signal_today,ugl_pending_intent,ugl_pending_reason,ugl_pending_delta,ugl_executed_intent,ugl_exec_side,ugl_exec_shares,ugl_exec_price,ubt_close,ubt_shares,ubt_weight,ubt_signal_today,ubt_pending_intent,ubt_pending_reason,ubt_pending_delta,ubt_executed_intent,ubt_exec_side,ubt_exec_shares,ubt_exec_price
2019-05-01,41562370,18,True,False,,15.105765,967707,0.3517,hold,,,0.0,,,0,0.0,12.208624,1234270,0.3626,hold,,,0.0,,,0,0.0,9.02,652535,0.1416,hold,,,0.0,,,0,0.0,34.831871,171963,0.1441,hold,,,0.0,,,0,0.0
2019-05-02,41272925,18,False,False,,15.03334,967707,0.3525,hold,,,0.0,,,0,0.0,12.116051,1234270,0.3623,hold,,,0.0,,,0,0.0,8.9475,652535,0.1415,hold,,,0.0,,,0,0.0,34.495808,171963,0.1437,hold,,,0.0,,,0,0.0
2019-05-03,42117165,18,False,False,,15.315802,967707,0.3519,hold,,,0.0,,,0,0.0,12.496219,1234270,0.3662,hold,,,0.0,,,0,0.0,9.055,652535,0.1403,hold,,,0.0,,,0,0.0,34.679119,171963,0.1416,hold,,,0.0,,,0,0.0
2019-05-06,41870208,18,False,False,,15.189058,967707,0.3511,hold,,,0.0,,,0,0.0,12.350566,1234270,0.3641,hold,,,0.0,,,0,0.0,9.0825,652535,0.1415,hold,,,0.0,,,0,0.0,34.897331,171963,0.1433,hold,,,0.0,,,0,0.0
2019-05-07,40902174,18,False,False,,14.683277,967707,0.3474,hold,,,0.0,,,0,0.0,11.854375,1234270,0.3577,hold,,,0.0,,,0,0.0,9.145,652535,0.1459,hold,,,0.0,,,0,0.0,35.438515,171963,0.149,hold,,,0.0,,,0,0.0
2019-05-08,40683547,18,False,False,,14.642235,967707,0.3483,hold,,,0.0,,,0,0.0,11.782782,1234270,0.3575,hold,,,0.0,,,0,0.0,9.0925,652535,0.1458,hold,,,0.0,,,0,0.0,35.111195,171963,0.1484,hold,,,0.0,,,0,0.0
2019-05-09,40533299,18,False,False,,14.545666,967707,0.3473,hold,,,0.0,,,0,0.0,11.674163,1234270,0.3555,hold,,,0.0,,,0,0.0,9.135,652535,0.1471,hold,,,0.0,,,0,0.0,35.39925,171963,0.1502,hold,,,0.0,,,0,0.0
2019-05-10,40689837,18,False,False,,14.676035,967707,0.349,hold,,,0.0,,,0,0.0,11.697617,1234270,0.3548,hold,,,0.0,,,0,0.0,9.1625,652535,0.1469,hold,,,0.0,,,0,0.0,35.303219,171963,0.1492,hold,,,0.0,,,0,0.0
2019-05-13,39198072,18,False,False,,13.952975,967707,0.3445,hold,,,0.0,,,0,0.0,10.876797,1234270,0.3425,hold,,,0.0,,,0,0.0,9.3575,652535,0.1558,hold,,,0.0,,,0,0.0,35.84877,171963,0.1573,hold,,,0.0,,,0,0.0
2019-05-14,39670168,18,False,False,,14.202847,967707,0.3465,hold,,,0.0,,,0,0.0,11.116251,1234270,0.3459,hold,,,0.0,,,0,0.0,9.315,652535,0.1532,hold,,,0.0,,,0,0.0,35.63055,171963,0.1545,hold,,,0.0,,,0,0.0
