Date,Open,High,Low,Close,ma_200
2007-11-05,46.22502,46.688473,45.993294,46.405251,40.639534
2007-11-06,46.628396,46.937361,46.156359,46.92878,40.687528
2007-11-07,46.534006,46.842974,45.753003,45.787331,40.72673
2007-11-08,45.607085,45.770154,43.598794,44.396961,40.761422
2007-11-09,43.538734,43.873449,42.912216,42.912216,40.789375
2007-11-12,42.843544,43.118186,41.753577,41.822235,40.811707
2007-11-13,42.388678,43.590221,42.354348,43.54731,40.842579
2007-11-14,44.105165,44.148077,42.826383,42.989449,40.868777
2007-11-15,42.912197,43.37565,42.371503,42.757713,40.894116
2007-11-16,43.049519,43.332742,42.34576,43.152508,40.920744
2007-11-19,43.049523,43.298415,42.40584,42.654732,40.945054
2007-11-20,42.877874,43.581634,41.993884,42.826382,40.97048
2007-11-21,42.440199,43.058133,41.92525,42.320045,40.99166
2007-11-23,42.59466,42.886464,42.371515,42.774891,41.015158
2007-11-26,42.886479,43.229775,41.968158,42.036816,41.037407
2007-11-27,42.397258,42.955115,42.139782,42.877872,41.064589
2007-11-28,43.45292,44.371241,43.42717,44.182426,41.097651
2007-11-29,44.010763,44.534292,43.942105,44.371227,41.128488
2007-11-30,44.808928,44.843259,43.727542,44.03651,41.156538
2007-12-03,43.8477,44.225326,43.615973,43.667469,41.183385
2007-12-04,43.332744,43.718951,43.238336,43.487225,41.207875
2007-12-05,43.942089,44.628684,43.907759,44.268223,41.23567
2007-12-06,44.311156,44.946255,44.293991,44.903343,41.265655
2007-12-07,44.877588,45.092149,44.697358,44.911919,41.296369
2007-12-10,45.023483,45.220879,44.903329,45.092144,41.328926
2007-12-11,45.160787,45.349602,43.950663,44.045071,41.364171
2007-12-12,44.843256,44.99774,43.676044,44.43988,41.400791
2007-12-13,44.053677,44.31115,43.75329,44.199577,41.437065
2007-12-14,43.847697,44.285401,43.701794,43.744709,41.47385
2007-12-17,43.581609,43.761843,42.663289,42.680454,41.506726
2007-12-18,43.118198,43.143944,42.208457,42.81781,41.537291
2007-12-19,42.817785,43.083842,42.577478,42.809204,41.568541
2007-12-20,43.444309,43.736112,43.083848,43.68462,41.602926
2007-12-21,44.400262,44.589274,44.228434,44.546314,41.641791
2007-12-24,44.683793,45.018859,44.632246,44.881397,41.681132
2007-12-26,44.78689,45.21646,44.675201,45.104771,41.725187
2007-12-27,44.958717,45.104769,44.426049,44.563511,41.763881
2007-12-28,44.709588,44.812684,44.185513,44.520576,41.802789
2007-12-31,44.305786,44.400292,43.996496,44.005089,41.83926
2008-01-02,44.048041,44.219869,43.068623,43.309181,41.870366
2008-01-03,43.309183,43.60988,43.085808,43.489601,41.901046
2008-01-04,42.793695,42.810878,41.419071,41.58231,41.91859
2008-01-07,41.582313,41.754138,40.748948,41.384708,41.935831
2008-01-08,41.470619,41.891595,40.31078,40.31078,41.948302
2008-01-09,40.474018,41.204284,39.915577,41.169918,41.964298
2008-01-10,40.748946,41.590901,40.628667,41.230064,41.981923
2008-01-11,41.006688,41.041055,40.121777,40.422474,41.997524
2008-01-14,40.972312,41.247236,40.645842,41.126957,42.016434
2008-01-15,40.697402,40.826274,39.82108,39.992908,42.029844
2008-01-16,39.68361,40.302191,39.05644,39.563332,42.04085
2008-01-17,39.726572,40.018679,38.833067,39.013485,42.046664
2008-01-18,39.211084,39.640653,38.644053,38.961933,42.051448
2008-01-22,36.796902,38.463629,36.710986,37.956738,42.050264
2008-01-23,36.547753,37.930966,35.748754,37.810684,42.048821
2008-01-24,37.965312,38.601076,37.853627,38.583893,42.050258
2008-01-25,39.408697,39.408697,37.750559,37.793518,42.049757
2008-01-28,37.819283,38.18012,37.43267,38.085617,42.049217
2008-01-29,38.283207,38.386303,37.836455,38.154335,42.048635
2008-01-30,38.016888,38.936166,37.956748,38.119984,42.046124
