Date,Open,High,Low,Close,Volume,ma_200,change_pct
2023-06-26,92.239477,92.399708,91.83,92.079247,12894900,93.663135,0.11
2023-06-27,92.21276,92.533222,91.473924,91.83889,18105700,93.644983,-0.26
2023-06-28,92.052552,92.435319,91.536251,92.230583,23826800,93.63091,0.43
2023-06-29,90.948722,91.100049,90.307798,90.565948,41091600,93.600413,-1.8
2023-06-30,90.850816,91.740987,90.681688,91.634171,32024900,93.580848,1.18
2023-07-03,91.79305,92.167939,91.096837,91.114693,16011800,93.556309,-0.57
2023-07-05,90.945075,91.04326,89.918606,90.248863,28170300,93.523399,-0.95
2023-07-06,89.436605,89.597269,88.785024,88.972466,41375700,93.478116,-1.41
2023-07-07,88.526207,88.90109,88.356615,88.436951,28996500,93.427955,-0.6
2023-07-10,88.240546,88.838574,88.231618,88.552948,24665200,93.379448,0.13
2023-07-11,88.874305,89.231339,88.624384,89.008194,20485500,93.335953,0.51
2023-07-12,89.34739,90.257827,89.052837,89.998978,31928000,93.302749,1.11
2023-07-13,90.427385,91.016492,90.177463,90.945084,32441500,93.27929,1.05
2023-07-14,90.793348,90.989717,90.364906,90.409538,18569000,93.250735,-0.59
2023-07-17,90.356,90.588066,90.079295,90.454178,18822000,93.222909,0.05
2023-07-18,90.864769,91.105763,90.659472,90.864769,15407400,93.199444,0.45
2023-07-19,91.043278,91.918011,90.802284,91.891228,27192500,93.186427,1.13
2023-07-20,91.239643,91.319972,90.400615,90.775497,56951200,93.162438,-1.21
2023-07-21,91.186087,91.355673,90.713013,90.802277,20657500,93.138954,0.03
2023-07-24,91.034339,91.177155,90.418463,90.472015,17546700,93.112417,-0.36
2023-07-25,89.998947,90.596975,89.972171,90.302422,17160600,93.084457,-0.19
2023-07-26,90.757655,90.766582,90.088219,90.391693,19310700,93.057663,0.1
2023-07-27,89.891829,90.088198,88.285187,88.633293,44794400,93.01364,-1.95
2023-07-28,88.722539,89.133125,88.499394,89.088493,27434000,92.974584,0.51
2023-07-31,88.945716,89.552671,88.918939,89.30275,28663800,92.938048,0.24
2023-08-01,88.465851,88.537456,87.624517,87.839325,34943400,92.887314,-1.64
2023-08-02,86.854796,87.033801,86.290922,86.899544,38121300,92.827735,-1.07
2023-08-03,85.198986,85.315339,84.617208,84.894669,59394800,92.748799,-2.31
2023-08-04,85.163161,86.532573,85.145257,86.398315,42071800,92.68561,1.77
2023-08-07,86.022405,86.102956,85.47643,85.548035,35862900,92.614589,-0.98
2023-08-08,86.693697,87.15017,86.317782,86.541542,24010500,92.554161,1.16
2023-08-09,86.7116,87.07857,86.675797,86.989067,20151100,92.498787,0.52
2023-08-10,86.854798,87.141211,85.556984,85.556984,37253200,92.429714,-1.65
2023-08-11,85.297432,85.807605,85.207922,85.360085,26753500,92.359369,-0.23
2023-08-14,85.216867,85.861298,84.939407,85.172119,19072000,92.287854,-0.22
2023-08-15,84.849918,85.207929,84.635103,84.653008,24125000,92.211886,-0.61
2023-08-16,84.384497,84.84097,83.883276,83.990677,23076700,92.130083,-0.78
2023-08-17,83.686345,83.7848,83.256722,83.632645,32244900,92.045531,-0.43
2023-08-18,83.623714,84.303947,83.507361,83.928024,24181700,91.96476,0.35
2023-08-21,82.934531,83.024034,82.549663,82.809219,29254100,91.87366,-1.33
2023-08-22,82.916617,83.489442,82.755509,83.444695,21308700,91.78979,0.77
2023-08-23,84.402381,85.521182,84.339728,85.51223,38294700,91.727326,2.48
2023-08-24,85.145275,85.521198,84.930467,84.948372,22300800,91.659874,-0.66
2023-08-25,84.724594,85.485378,84.590336,85.225815,23865200,91.595854,0.33
2023-08-28,85.610673,85.619625,84.93044,85.315308,16037300,91.533361,0.11
2023-08-29,85.002057,86.380421,84.975206,86.201408,28478100,91.480306,1.04
2023-08-30,86.067183,86.281991,85.816566,86.111931,17550100,91.42689,-0.1
