Date,equity,cash,rebalanced,rebalance_reason,spy_value,spy_weight,spy_signal,spy_shares,spy_avg_price,spy_realized_pnl,spy_unrealized_pnl,gld_value,gld_weight,gld_signal,gld_shares,gld_avg_price,gld_realized_pnl,gld_unrealized_pnl,tlt_value,tlt_weight,tlt_signal,tlt_shares,tlt_avg_price,tlt_realized_pnl,tlt_unrealized_pnl,drawdown_pct
2012-02-07,17771469,109,False,,10742105,0.6045,buy,102315,100.000755,2810294,510528,3681472,0.2072,buy,21694,94.522807,2028386,1630894,3347783,0.1884,buy,42435,64.531903,181995,609372,0.0
2012-02-08,17779907,109,False,,10773985,0.606,buy,102315,100.000755,2810294,542408,3655439,0.2056,buy,21694,94.522807,2028386,1604861,3350374,0.1884,buy,42435,64.531903,181995,611962,0.0
2012-02-09,17757994,109,False,,10787536,0.6075,buy,102315,100.000755,2810294,555958,3645026,0.2053,buy,21694,94.522807,2028386,1594448,3325324,0.1873,buy,42435,64.531903,181995,586912,-0.12
2012-02-10,17702390,109,False,,10707835,0.6049,buy,102315,100.000755,2810294,476258,3625935,0.2048,buy,21694,94.522807,2028386,1575357,3368511,0.1903,buy,42435,64.531903,181995,630100,-0.44
2012-02-13,17794441,109,False,,10787536,0.6062,buy,102315,100.000755,2810294,555958,3633962,0.2042,buy,21694,94.522807,2028386,1583384,3372835,0.1895,buy,42435,64.531903,181995,634424,0.0
2012-02-14,17790280,109,False,,10773985,0.6056,buy,102315,100.000755,2810294,542408,3625501,0.2038,buy,21694,94.522807,2028386,1574923,3390685,0.1906,buy,42435,64.531903,181995,652273,-0.02
2012-02-15,17755505,109,False,,10723778,0.604,buy,102315,100.000755,2810294,492201,3646978,0.2054,buy,21694,94.522807,2028386,1596401,3384639,0.1906,buy,42435,64.531903,181995,646228,-0.22
2012-02-16,17844794,109,False,,10842520,0.6076,buy,102315,100.000755,2810294,610943,3644592,0.2042,buy,21694,94.522807,2028386,1594014,3357572,0.1882,buy,42435,64.531903,181995,619161,0.0
2012-02-17,17858523,109,False,,10871215,0.6087,buy,102315,100.000755,2810294,639637,3630491,0.2033,buy,21694,94.522807,2028386,1579913,3356708,0.188,buy,42435,64.531903,181995,618297,0.0
2012-02-21,17905779,109,False,,10875996,0.6074,buy,102315,100.000755,2810294,644419,3710108,0.2072,buy,21694,94.522807,2028386,1659530,3319566,0.1854,buy,42435,64.531903,181995,581155,0.0
2012-02-22,17954109,109,False,,10840926,0.6038,buy,102315,100.000755,2810294,609348,3751760,0.209,buy,21694,94.522807,2028386,1701183,3361314,0.1872,buy,42435,64.531903,181995,622903,0.0
2012-02-23,18003664,109,False,,10888745,0.6048,buy,102315,100.000755,2810294,657168,3753496,0.2085,buy,21694,94.522807,2028386,1702918,3361314,0.1867,buy,42435,64.531903,181995,622903,0.0
2012-02-24,18032318,109,False,,10912654,0.6052,buy,102315,100.000755,2810294,681076,3736358,0.2072,buy,21694,94.522807,2028386,1685780,3383198,0.1876,buy,42435,64.531903,181995,644786,0.0
2012-02-27,18069095,109,False,,10930983,0.605,buy,102315,100.000755,2810294,699406,3724860,0.2061,buy,21694,94.522807,2028386,1674282,3413143,0.1889,buy,42435,64.531903,181995,674732,0.0
2012-02-28,18128579,109,False,,10962864,0.6047,buy,102315,100.000755,2810294,731287,3763692,0.2076,buy,21694,94.522807,2028386,1713114,3401914,0.1877,buy,42435,64.531903,181995,663503,0.0
2012-02-29,17865227,109,False,,10919827,0.6112,buy,102315,100.000755,2810294,688250,3564107,0.1995,buy,21694,94.522807,2028386,1513529,3381184,0.1893,buy,42435,64.531903,181995,642772,-1.45
2012-03-01,17940305,109,False,,10976408,0.6118,buy,102315,100.000755,2810294,744830,3614437,0.2015,buy,21694,94.522807,2028386,1563860,3349352,0.1867,buy,42435,64.531903,181995,610940,-1.04
2012-03-02,17932435,109,False,,10942939,0.6102,buy,102315,100.000755,2810294,711361,3608580,0.2012,buy,21694,94.522807,2028386,1558002,3380808,0.1885,buy,42435,64.531903,181995,642396,-1.08
2012-03-05,17845999,109,False,,10898309,0.6107,buy,102315,100.000755,2810294,666732,3593611,0.2014,buy,21694,94.522807,2028386,1543033,3353970,0.1879,buy,42435,64.531903,181995,615558,-1.56
2012-03-06,17663299,109,False,,10738917,0.608,buy,102315,100.000755,2810294,507339,3529614,0.1998,buy,21694,94.522807,2028386,1479036,3394659,0.1922,buy,42435,64.531903,181995,656248,-2.57
2012-03-07,17737617,109,False,,10813836,0.6097,buy,102315,100.000755,2810294,582259,3549789,0.2001,buy,21694,94.522807,2028386,1499212,3373883,0.1902,buy,42435,64.531903,181995,635472,-2.16
2012-03-08,17847230,109,False,,10921420,0.6119,buy,102315,100.000755,2810294,689843,3585584,0.2009,buy,21694,94.522807,2028386,1535007,3340117,0.1872,buy,42435,64.531903,181995,601705,-1.55
2012-03-09,17919970,109,False,,10963659,0.6118,buy,102315,100.000755,2810294,732082,3609448,0.2014,buy,21694,94.522807,2028386,1558870,3346754,0.1868,buy,42435,64.531903,181995,608343,-1.15
2012-03-12,17891771,109,False,,10964457,0.6128,buy,102315,100.000755,2810294,732880,3581029,0.2001,buy,21694,94.522807,2028386,1530451,3346176,0.187,buy,42435,64.531903,181995,607765,-1.31
2012-03-13,17970449,109,False,,11162098,0.6211,buy,102315,100.000755,2810294,930521,3520936,0.1959,buy,21694,94.522807,2028386,1470358,3287305,0.1829,buy,42435,64.531903,181995,548894,-0.87
2012-03-14,17816446,109,False,,11150145,0.6258,buy,102315,100.000755,2810294,918567,3461712,0.1943,buy,21694,94.522807,2028386,1411134,3204481,0.1799,buy,42435,64.531903,181995,466069,-1.72
2012-03-15,17918665,109,False,,11214700,0.6259,buy,102315,100.000755,2810294,983123,3494470,0.195,buy,21694,94.522807,2028386,1443892,3209386,0.1791,buy,42435,64.531903,181995,470975,-1.16
2012-03-16,17945314,109,False,,11230228,0.6258,buy,102315,100.000755,2810294,998651,3499242,0.195,buy,21694,94.522807,2028386,1448664,3215735,0.1792,buy,42435,64.531903,181995,477324,-1.01
2012-03-19,17957247,109,False,,11274250,0.6278,buy,102315,100.000755,2810294,1042673,3505533,0.1952,buy,21694,94.522807,2028386,1454956,3177355,0.1769,buy,42435,64.531903,181995,438943,-0.95
2012-03-20,17905452,109,False,,11241430,0.6278,buy,102315,100.000755,2810294,1009853,3473860,0.194,buy,21694,94.522807,2028386,1423283,3190053,0.1782,buy,42435,64.531903,181995,451641,-1.23
2012-03-21,17924854,109,False,,11223023,0.6261,buy,102315,100.000755,2810294,991446,3475596,0.1939,buy,21694,94.522807,2028386,1425018,3226126,0.18,buy,42435,64.531903,181995,487715,-1.12
2012-03-22,17840513,109,False,,11142179,0.6245,buy,102315,100.000755,2810294,910601,3461712,0.194,buy,21694,94.522807,2028386,1411134,3236513,0.1814,buy,42435,64.531903,181995,498102,-1.59
2012-03-23,17949640,109,False,,11178196,0.6228,buy,102315,100.000755,2810294,946619,3504232,0.1952,buy,21694,94.522807,2028386,1453654,3267103,0.182,buy,42435,64.531903,181995,528691,-0.99
2012-03-26,18152048,109,False,,11335082,0.6245,buy,102315,100.000755,2810294,1103505,3566493,0.1965,buy,21694,94.522807,2028386,1515916,3250363,0.1791,buy,42435,64.531903,181995,511952,0.0
2012-03-27,18115047,109,False,,11299868,0.6238,buy,102315,100.000755,2810294,1068291,3541329,0.1955,buy,21694,94.522807,2028386,1490751,3273742,0.1807,buy,42435,64.531903,181995,535331,-0.2
