이평기간,매수버퍼존,매도버퍼존,유지일,조정기간(월),수익률,CAGR,MDD,Calmar,거래수,승률,최종자본
150,0.05,0.03,5,8,615.3,7.58,-49.82,0.1521,18,61.11,71530054
200,0.03,0.01,5,4,678.79,7.92,-52.2,0.1517,24,45.83,77879062
150,0.03,0.01,3,8,527.06,7.05,-46.53,0.1515,29,44.83,62706240
100,0.01,0.05,5,12,877.25,8.83,-58.29,0.1515,22,54.55,97724961
150,0.01,0.05,0,12,1043.38,9.46,-62.57,0.1513,24,45.83,114337821
100,0.01,0.03,2,4,578.06,7.36,-48.7,0.1512,37,48.65,67806065
100,0.05,0.05,0,0,771.28,8.37,-55.73,0.1501,22,54.55,87127902
100,0.03,0.03,3,4,529.0,7.06,-47.12,0.1499,30,46.67,62900085
100,0.05,0.05,2,8,735.11,8.2,-54.75,0.1497,18,61.11,83510708
150,0.03,0.01,0,4,639.94,7.71,-51.52,0.1497,37,43.24,73994037
100,0.03,0.05,2,8,793.07,8.47,-56.68,0.1494,21,57.14,89307020
200,0.05,0.01,0,0,672.58,7.88,-52.78,0.1494,27,40.74,77258082
200,0.03,0.01,5,0,607.15,7.53,-50.46,0.1492,27,40.74,70715197
100,0.05,0.05,3,4,657.03,7.8,-52.36,0.149,19,57.89,75703241
200,0.03,0.01,2,12,605.31,7.52,-50.66,0.1484,25,44.0,70530848
150,0.05,0.01,0,0,537.97,7.12,-47.99,0.1483,34,38.24,63796570
150,0.03,0.01,2,8,506.94,6.92,-46.74,0.1481,31,41.94,60694025
150,0.01,0.01,2,8,540.61,7.14,-48.23,0.148,37,43.24,64061153
200,0.01,0.01,2,8,608.03,7.53,-50.94,0.1479,30,36.67,70802857
150,0.05,0.03,5,12,577.16,7.36,-49.82,0.1477,18,55.56,67716364
100,0.01,0.01,2,4,389.34,6.07,-41.12,0.1476,57,45.61,48934014
200,0.05,0.01,2,4,632.52,7.67,-51.99,0.1475,22,50.0,73251716
200,0.01,0.01,0,12,702.96,8.04,-54.55,0.1474,36,33.33,80296022
200,0.03,0.01,3,12,568.86,7.31,-49.64,0.1472,24,45.83,66885738
150,0.03,0.03,0,8,919.06,9.0,-61.21,0.147,24,50.0,101906210
200,0.05,0.01,0,4,673.63,7.89,-53.89,0.1464,25,44.0,77362993
100,0.01,0.03,5,12,585.53,7.41,-50.7,0.1461,31,51.61,68552583
100,0.05,0.03,3,4,428.11,6.37,-43.71,0.1458,26,46.15,52810852
100,0.05,0.05,5,0,675.26,7.9,-54.25,0.1456,19,57.89,77525839
150,0.01,0.03,2,4,724.3,8.14,-55.94,0.1456,27,44.44,82429999
100,0.03,0.05,5,0,796.68,8.48,-58.42,0.1452,22,54.55,89668291
100,0.01,0.03,2,12,535.56,7.1,-49.18,0.1445,35,45.71,63555875
100,0.01,0.03,3,12,503.7,6.9,-47.85,0.1442,34,41.18,60370263
100,0.05,0.05,2,12,671.86,7.88,-54.78,0.1439,18,61.11,77185542
150,0.03,0.03,0,12,862.51,8.77,-61.21,0.1432,24,50.0,96251091
200,0.01,0.01,2,4,565.63,7.29,-50.94,0.1431,32,34.38,66562777
150,0.05,0.03,5,4,581.23,7.38,-51.65,0.1429,19,57.89,68122637
200,0.03,0.01,2,8,574.93,7.34,-51.41,0.1429,26,42.31,67493340
150,0.05,0.01,5,0,408.25,6.22,-43.63,0.1426,27,48.15,50825313
100,0.03,0.01,0,4,444.95,6.5,-45.57,0.1425,51,47.06,54495473
100,0.01,0.03,2,8,552.33,7.21,-50.59,0.1425,36,47.22,65232897
150,0.01,0.01,2,12,490.02,6.81,-47.79,0.1425,37,40.54,59001609
150,0.03,0.03,0,4,824.75,8.61,-60.6,0.142,26,46.15,92475282
200,0.03,0.01,0,0,641.09,7.72,-54.41,0.1418,36,33.33,74109289
100,0.03,0.03,3,8,521.72,7.02,-49.53,0.1417,29,48.28,62171734
