Date,equity,position,buy_buffer_pct,sell_buffer_pct,upper_band,lower_band
2024-04-01,80318302.0,182263,0.03,0.05,400.178123,369.096327
2024-04-02,79625138.0,182263,0.03,0.05,400.673608,369.553328
2024-04-03,79803852.0,182263,0.03,0.05,401.174212,370.01505
2024-04-04,78583589.0,182263,0.03,0.05,401.601219,370.408891
2024-04-05,79509610.0,182263,0.03,0.05,402.076048,370.84684
2024-04-08,79533083.0,182263,0.03,0.05,402.547471,371.281648
2024-04-09,79827308.0,182263,0.03,0.05,403.030749,371.72739
2024-04-10,79130545.0,182263,0.03,0.05,403.470038,372.13256
2024-04-11,80394110.0,182263,0.03,0.05,403.976008,372.59923
2024-04-12,79112490.0,182263,0.03,0.05,404.404876,372.994789
2024-04-15,77811001.0,182263,0.03,0.05,404.756294,373.318912
2024-04-16,77818232.0,182263,0.03,0.05,405.104622,373.640185
2024-04-17,76868744.0,182263,0.03,0.05,405.396093,373.909018
2024-04-18,76430106.0,182263,0.03,0.05,405.66,374.152427
2024-04-19,74848838.0,182263,0.03,0.05,405.832365,374.311404
2024-04-22,75601563.0,182263,0.03,0.05,406.04534,374.507838
2024-04-23,76729749.0,182263,0.03,0.05,406.319636,374.760829
2024-04-24,76989689.0,182263,0.03,0.05,406.605818,375.024784
2024-04-25,76617848.0,182263,0.03,0.05,406.868245,375.266827
2024-04-26,77800172.0,182263,0.03,0.05,407.194542,375.567782
2024-04-29,78116067.0,182263,0.03,0.05,407.535356,375.882125
2024-04-30,76643106.0,182263,0.03,0.05,407.789954,376.116947
2024-05-01,76088947.0,182263,0.03,0.05,408.010857,376.320693
2024-05-02,77060090.0,182263,0.03,0.05,408.28417,376.572778
2024-05-03,78608869.0,182263,0.03,0.05,408.641852,376.902679
2024-05-06,79469896.0,182263,0.03,0.05,409.044392,377.273954
2024-05-07,79482539.0,182263,0.03,0.05,409.443637,377.642189
2024-05-08,79435599.0,182263,0.03,0.05,409.83627,378.004327
2024-05-09,79608890.0,182263,0.03,0.05,410.23474,378.371848
2024-05-10,79796621.0,182263,0.03,0.05,410.639802,378.745449
2024-05-13,79980742.0,182263,0.03,0.05,411.051187,379.124881
2024-05-14,80495198.0,182263,0.03,0.05,411.487406,379.527219
2024-05-15,81753356.0,182263,0.03,0.05,411.990032,379.990806
2024-05-16,81587296.0,182263,0.03,0.05,412.478319,380.441168
2024-05-17,81547576.0,182263,0.03,0.05,412.959514,380.884988
2024-05-20,82116191.0,182263,0.03,0.05,413.467894,381.353883
2024-05-21,82276829.0,182263,0.03,0.05,413.980249,381.826443
2024-05-22,82260592.0,182263,0.03,0.05,414.486592,382.293459
2024-05-23,81890543.0,182263,0.03,0.05,414.967089,382.736636
2024-05-24,82664938.0,182263,0.03,0.05,415.48635,383.215566
2024-05-28,82977213.0,182263,0.03,0.05,416.018004,383.705926
2024-05-29,82392373.0,182263,0.03,0.05,416.511481,384.161075
2024-05-30,81509670.0,182263,0.03,0.05,416.950414,384.565916
2024-05-31,81358044.0,182263,0.03,0.05,417.376453,384.958864
2024-06-03,81794873.0,182263,0.03,0.05,417.822815,385.370558
2024-06-04,82018702.0,182263,0.03,0.05,418.277323,385.789764
2024-06-05,83672179.0,182263,0.03,0.05,418.820284,386.290553
2024-06-06,83643295.0,182263,0.03,0.05,419.356218,386.784861
