Date,equity,active_tranches,avg_entry_price,ma250_equity,ma250_position,ma200_equity,ma200_position,ma150_equity,ma150_position,drawdown_pct
2014-03-25,43018560,3,0.38885905035242235,7471485,5932099,17423554,13833696,18123521,14389445,-22.91
2014-03-26,41381977,3,0.38885905035242235,7187242,5932099,16760699,13833696,17434036,14389445,-25.84
2014-03-27,40648596,3,0.38885905035242235,7059868,5932099,16463662,13833696,17125066,14389445,-27.16
2014-03-28,40913436,3,0.38885905035242235,7105866,5932099,16570928,13833696,17236641,14389445,-26.68
2014-03-31,41728311,3,0.38885905035242235,7247394,5932099,16900972,13833696,17579945,14389445,-25.22
2014-04-01,43989593,3,0.38885905035242235,7640135,5932099,17816846,13833696,18532612,14389445,-21.17
2014-04-02,44335893,3,0.38885905035242235,7700280,5932099,17957106,13833696,18678507,14389445,-20.55
2014-04-03,43290162,3,0.38885905035242235,7518657,5932099,17533560,13833696,18237945,14389445,-22.43
2014-04-04,39854111,3,0.38885905035242235,6921882,5932099,16141876,13833696,16790353,14389445,-28.58
2014-04-07,38658985,3,0.38885905035242235,6714312,5932099,15657821,13833696,16286852,14389445,-30.72
2014-04-08,39738666,3,0.38885905035242235,6901831,5932099,16095118,13833696,16741716,14389445,-28.79
2014-04-09,41775855,3,0.38885905035242235,7255651,5932099,16920229,13833696,17599975,14389445,-25.14
2014-04-10,37918772,3,0.38885905035242235,6585751,5932099,15358017,13833696,15975004,14389445,-32.05
2014-04-11,36594608,3,0.38885905035242235,6355770,5932099,14821699,13833696,15417139,14389445,-34.42
2014-04-14,37416281,3,0.38885905035242235,6498478,5932099,15154496,13833696,15763306,14389445,-32.95
2014-04-15,37789768,3,0.38885905035242235,6563346,5932099,15305768,13833696,15920655,14389445,-32.28
2014-04-16,39256531,3,0.38885905035242235,6818094,5932099,15899842,13833696,16538595,14389445,-29.65
2014-04-17,39276921,3,0.38885905035242235,6821635,5932099,15908100,13833696,16547186,14389445,-29.62
2014-04-21,40166495,3,0.38885905035242235,6976137,5932099,16268399,13833696,16921959,14389445,-28.02
2014-04-22,41151122,3,0.38885905035242235,7147147,5932099,16667197,13833696,17336778,14389445,-26.26
2014-04-23,40030659,3,0.38885905035242235,6952545,5932099,16213382,13833696,16864732,14389445,-28.27
2014-04-24,41212226,3,0.38885905035242235,7157760,5932099,16691945,13833696,17362520,14389445,-26.15
2014-04-25,39222580,3,0.38885905035242235,6812197,5932099,15886091,13833696,16524292,14389445,-29.71
2014-04-28,39643612,3,0.38885905035242235,6885322,5932099,16056619,13833696,16701671,14389445,-28.96
2014-04-29,40519592,3,0.38885905035242235,7037463,5932099,16411412,13833696,17070717,14389445,-27.39
2014-04-30,40879485,3,0.38885905035242235,7099969,5932099,16557177,13833696,17222338,14389445,-26.74
2014-05-01,41246176,3,0.38885905035242235,7163656,5932099,16705696,13833696,17376823,14389445,-26.09
2014-05-02,41042474,3,0.38885905035242235,7128277,5932099,16623192,13833696,17291005,14389445,-26.45
2014-05-05,41626460,3,0.38885905035242235,7229704,5932099,16859720,13833696,17537036,14389445,-25.41
