Date,equity,cash,rebalanced,rebalance_reason,sso_value,sso_weight,sso_signal,sso_shares,sso_avg_price,sso_realized_pnl,sso_unrealized_pnl,qld_value,qld_weight,qld_signal,qld_shares,qld_avg_price,qld_realized_pnl,qld_unrealized_pnl,ugl_value,ugl_weight,ugl_signal,ugl_shares,ugl_avg_price,ugl_realized_pnl,ugl_unrealized_pnl,ubt_value,ubt_weight,ubt_signal,ubt_shares,ubt_avg_price,ubt_realized_pnl,ubt_unrealized_pnl,drawdown_pct
2010-08-03,9929908,3477224,True,monthly,0,0.0,sell,0,0.0,-448174,0,3447893,0.3472,buy,3787220,0.950632,-18526,-152358,1500698,0.1511,buy,118985,11.201676,55979,167867,1504093,0.1515,buy,85688,14.822824,91164,233955,-9.19
2010-08-04,9994997,3477224,False,,0,0.0,sell,0,0.0,-448174,0,3517903,0.352,buy,3787220,0.950632,-18526,-82348,1518249,0.1519,buy,118985,11.201676,55979,185417,1481621,0.1482,buy,85688,14.822824,91164,211483,-8.59
2010-08-05,10001338,3477224,False,,0,0.0,buy,0,0.0,-448174,0,3501126,0.3501,buy,3787220,0.950632,-18526,-99125,1525983,0.1526,buy,118985,11.201676,55979,193151,1497006,0.1497,buy,85688,14.822824,91164,226868,-8.53
2010-08-06,10074445,20,True,daily,3531707,0.3506,buy,1606278,2.17924,-448174,31242,3488880,0.3463,buy,3786491,0.950632,-18562,-110678,1522196,0.1511,buy,117002,11.201676,59537,211577,1531642,0.152,buy,85866,14.828966,91164,258338,-7.86
2010-08-09,10137295,20,False,,3569712,0.3521,buy,1606278,2.17924,-448174,69246,3533425,0.3486,buy,3786491,0.950632,-18562,-66133,1512543,0.1492,buy,117002,11.201676,59537,201925,1521595,0.1501,buy,85866,14.828966,91164,248291,-7.29
2010-08-10,10058062,20,False,,3532634,0.3512,buy,1606278,2.17924,-448174,32169,3478468,0.3458,buy,3786491,0.950632,-18562,-121090,1520148,0.1511,buy,117002,11.201676,59537,209530,1526792,0.1518,buy,85866,14.828966,91164,253488,-8.01
2010-08-11,9701340,20,False,,3337973,0.3441,buy,1606278,2.17924,-448174,-162493,3285830,0.3387,buy,3786491,0.950632,-18562,-313728,1509326,0.1556,buy,117002,11.201676,59537,198707,1568192,0.1616,buy,85866,14.828966,91164,294888,-11.28
2010-08-12,9633436,20,False,,3296259,0.3422,buy,1606278,2.17924,-448174,-204206,3230297,0.3353,buy,3786491,0.950632,-18562,-369261,1545596,0.1604,buy,117002,11.201676,59537,234978,1561263,0.1621,buy,85866,14.828966,91164,287959,-11.9
2010-08-13,9607424,20,False,,3274941,0.3409,buy,1606278,2.17924,-448174,-225525,3185177,0.3315,buy,3786491,0.950632,-18562,-414381,1546181,0.1609,buy,117002,11.201676,59537,235563,1601105,0.1667,buy,85866,14.828966,91164,327801,-12.14
2010-08-16,9719640,20,False,,3274941,0.3369,buy,1606278,2.17924,-448174,-225525,3197321,0.329,buy,3786491,0.950632,-18562,-402237,1568997,0.1614,buy,117002,11.201676,59537,258378,1678363,0.1727,buy,85866,14.828966,91164,405059,-11.11
