이평기간,버퍼존,유지일,조정기간,수익률,CAGR,MDD,거래수,승률,최종자본
250,0.02,5,0,1074.43,9.64,-44.28,23,56.52,117443234.66
250,0.01,0,12,1073.96,9.63,-41.41,32,43.75,117396410.24
250,0.03,3,2,1072.56,9.63,-44.72,17,64.71,117256357.54
250,0.01,0,6,1071.67,9.63,-41.41,34,41.18,117166683.27
250,0.04,1,4,1069.24,9.62,-43.92,17,64.71,116924460.63
150,0.04,3,0,1067.69,9.61,-46.46,20,65.0,116769243.1
250,0.05,2,2,1064.12,9.6,-45.05,14,78.57,116412302.98
250,0.02,0,0,1063.48,9.6,-39.19,32,40.62,116347587.16
200,0.02,4,12,1061.54,9.59,-46.21,22,59.09,116153866.65
250,0.04,2,2,1061.51,9.59,-44.43,16,68.75,116150542.13
200,0.03,2,12,1061.22,9.59,-47.7,20,65.0,116122107.29
200,0.02,5,4,1060.33,9.59,-45.35,22,59.09,116032868.52
250,0.03,1,2,1059.6,9.58,-44.91,19,57.89,115960274.51
200,0.04,4,12,1059.31,9.58,-46.74,17,64.71,115931316.32
250,0.04,2,0,1059.27,9.58,-44.43,16,68.75,115926514.87
250,0.02,3,2,1057.94,9.58,-43.36,23,56.52,115793706.55
150,0.03,2,2,1057.74,9.58,-50.81,24,54.17,115773655.89
100,0.05,1,4,1057.45,9.58,-48.23,20,60.0,115744737.49
200,0.02,2,6,1056.65,9.57,-46.4,24,54.17,115664548.42
200,0.03,0,10,1055.22,9.57,-55.78,22,59.09,115521768.72
250,0.05,2,0,1054.93,9.57,-45.05,14,78.57,115493409.62
200,0.02,2,8,1049.94,9.55,-46.4,24,54.17,114994421.13
250,0.02,4,2,1049.77,9.55,-45.65,23,56.52,114976559.11
150,0.04,1,6,1049.54,9.55,-58.71,20,65.0,114954067.66
200,0.02,3,6,1049.51,9.55,-43.38,23,56.52,114951237.39
100,0.05,1,8,1047.52,9.54,-48.92,20,60.0,114751670.2
100,0.05,1,6,1047.52,9.54,-48.92,20,60.0,114751670.2
150,0.05,5,4,1045.93,9.54,-44.03,16,68.75,114593076.28
200,0.03,0,12,1045.01,9.53,-55.41,22,59.09,114501437.8
200,0.01,2,10,1044.22,9.53,-39.46,28,53.57,114422310.86
200,0.03,2,2,1043.39,9.53,-45.3,22,59.09,114338904.97
250,0.05,0,4,1041.12,9.52,-38.61,15,73.33,114112164.31
150,0.04,5,10,1040.82,9.52,-41.03,17,70.59,114081643.75
200,0.02,3,8,1040.47,9.52,-43.38,23,56.52,114047228.4
250,0.03,2,12,1040.14,9.52,-45.91,17,64.71,114014402.77
250,0.04,1,6,1038.38,9.51,-43.92,17,64.71,113838258.81
150,0.05,4,4,1036.97,9.5,-46.8,16,68.75,113696834.17
250,0.01,5,12,1035.97,9.5,-46.08,23,60.87,113596936.08
250,0.04,3,2,1033.85,9.49,-44.48,16,68.75,113385254.63
250,0.02,2,2,1033.34,9.49,-44.7,25,52.0,113334258.29
150,0.03,5,2,1031.62,9.48,-46.09,22,59.09,113162356.34
200,0.03,2,10,1031.61,9.48,-49.9,20,65.0,113161384.51
150,0.04,1,8,1030.72,9.48,-58.71,20,65.0,113071546.55
250,0.01,0,4,1028.91,9.47,-41.41,35,40.0,112891320.84
200,0.03,3,0,1027.43,9.47,-38.53,22,59.09,112742948.67
250,0.03,2,2,1024.36,9.46,-45.91,18,61.11,112435675.63
250,0.04,2,4,1023.46,9.45,-45.05,16,68.75,112345590.28
250,0.02,4,12,1017.35,9.43,-45.65,20,65.0,111734971.24
200,0.03,2,4,1017.22,9.43,-48.13,21,61.9,111722424.85
250,0.01,5,10,1017.16,9.43,-47.04,24,58.33,111716313.16
150,0.03,0,12,1016.87,9.43,-57.23,24,54.17,111687019.15
200,0.01,4,12,1014.3,9.42,-44.85,27,55.56,111429849.44
250,0.02,0,12,1014.04,9.42,-39.19,26,50.0,111403738.45
250,0.04,3,0,1014.04,9.42,-44.48,16,68.75,111403729.71
150,0.03,2,12,1012.11,9.41,-51.06,22,59.09,111211115.3
250,0.05,4,0,1009.54,9.4,-45.72,14,78.57,110953646.08
250,0.02,5,12,1009.31,9.4,-44.28,20,65.0,110931094.79
100,0.05,0,2,1009.23,9.4,-55.73,21,61.9,110922580.59
200,0.03,2,6,1006.4,9.39,-48.13,21,61.9,110639799.8
250,0.04,2,6,1004.06,9.38,-45.05,16,68.75,110406118.71
200,0.02,4,6,1003.25,9.38,-51.54,22,59.09,110324882.86
200,0.03,0,4,1002.74,9.38,-55.78,23,56.52,110274229.82
150,0.03,0,10,1002.5,9.38,-62.3,25,52.0,110250276.97
250,0.02,1,12,998.59,9.36,-39.47,24,54.17,109858619.45
200,0.02,5,2,998.57,9.36,-45.63,23,56.52,109856967.4
250,0.01,3,12,997.64,9.36,-43.93,25,56.0,109764202.44
200,0.02,4,8,997.18,9.36,-51.54,22,59.09,109718426.33
250,0.04,3,4,996.71,9.36,-45.33,16,68.75,109671213.53
200,0.01,1,10,996.33,9.35,-50.32,30,43.33,109633299.37
150,0.04,1,10,996.1,9.35,-58.71,20,60.0,109609606.92
100,0.05,1,2,995.23,9.35,-54.13,21,57.14,109522977.34
200,0.04,4,0,994.93,9.35,-46.99,19,57.89,109493166.47
200,0.03,4,2,994.34,9.35,-48.65,21,61.9,109434300.2
200,0.03,0,6,991.95,9.34,-55.78,23,56.52,109195114.28
250,0.05,4,2,991.13,9.34,-45.72,14,78.57,109113337.88
250,0.05,1,4,990.45,9.33,-43.93,14,78.57,109045043.79
250,0.01,4,10,989.83,9.33,-48.88,25,56.0,108983090.58
250,0.01,5,4,988.68,9.33,-47.04,25,56.0,108867858.18
200,0.02,5,8,987.53,9.32,-48.19,22,59.09,108752936.98
250,0.02,2,0,986.27,9.32,-44.7,27,48.15,108626917.9
250,0.04,3,6,986.0,9.32,-45.33,16,68.75,108600345.31
250,0.05,3,0,984.99,9.31,-45.1,14,78.57,108499015.72
250,0.01,0,2,984.47,9.31,-41.41,37,40.54,108446638.04
200,0.02,5,6,984.39,9.31,-48.19,22,59.09,108439358.53
200,0.02,4,10,981.24,9.3,-51.54,22,59.09,108123552.99
150,0.03,1,8,981.05,9.3,-58.71,24,54.17,108104542.69
150,0.03,5,12,980.82,9.3,-48.62,20,60.0,108081634.52
200,0.03,1,0,977.51,9.28,-50.24,24,54.17,107751361.67
200,0.02,5,10,976.87,9.28,-48.19,22,59.09,107687210.93
200,0.04,5,0,975.92,9.28,-46.58,19,57.89,107591871.65
200,0.03,2,8,975.83,9.28,-48.13,21,61.9,107582552.7
200,0.03,3,10,970.11,9.26,-50.73,20,65.0,107010643.17
250,0.05,2,4,970.0,9.26,-45.05,14,78.57,106999564.5
200,0.03,0,0,969.93,9.26,-49.45,26,50.0,106993386.56
200,0.03,5,2,969.47,9.25,-43.05,21,61.9,106947417.86
100,0.05,3,2,969.41,9.25,-55.4,19,63.16,106941422.24
250,0.05,3,2,966.99,9.24,-45.1,14,78.57,106699422.1
100,0.05,1,10,963.95,9.23,-48.92,20,60.0,106394903.07
150,0.04,2,0,962.39,9.23,-53.42,21,61.9,106238713.56
200,0.03,0,8,961.99,9.23,-55.78,23,56.52,106198947.06
150,0.03,1,10,961.04,9.22,-58.71,24,54.17,106103565.7
250,0.01,5,6,960.48,9.22,-47.04,25,56.0,106048124.64
200,0.02,3,2,959.88,9.22,-40.58,25,52.0,105987767.54
250,0.01,4,4,958.93,9.21,-48.88,26,53.85,105893297.91
100,0.04,1,10,958.43,9.21,-53.64,24,50.0,105842740.21
200,0.01,3,6,955.84,9.2,-41.12,29,51.72,105584430.52
150,0.03,5,0,953.86,9.19,-46.09,23,56.52,105385772.92
200,0.02,5,12,952.95,9.19,-48.2,22,59.09,105295351.89
