Date,equity,position,buffer_zone_pct,upper_band,lower_band,drawdown_pct
2022-07-20,431579730,0,0.04,328.353067,303.095139,-39.38
2022-07-21,431579730,0,0.04,328.145763,302.903782,-39.38
2022-07-22,431579730,0,0.04,327.868578,302.647918,-39.38
2022-07-25,431579730,0,0.04,327.571889,302.374051,-39.38
2022-07-26,431579730,0,0.04,327.19963,302.030428,-39.38
2022-07-27,431579730,0,0.04,326.999923,301.846083,-39.38
2022-07-28,431579730,0,0.04,326.843285,301.701494,-39.38
2022-07-29,431579730,0,0.04,326.764852,301.629094,-39.38
2022-08-01,431579730,0,0.04,326.684897,301.55529,-39.38
2022-08-02,431579730,0,0.04,326.593334,301.47077,-39.38
2022-08-03,431579730,0,0.04,326.618326,301.493839,-39.38
2022-08-04,431579730,0,0.04,326.663332,301.535383,-39.38
2022-08-05,431579730,0,0.04,326.672035,301.543417,-39.38
2022-08-08,431579730,0,0.04,326.666609,301.538408,-39.38
2022-08-09,431579730,0,0.04,326.612343,301.488317,-39.38
2022-08-10,431579730,0,0.04,326.678044,301.548964,-39.38
2022-08-11,431579730,0,0.04,326.717947,301.585797,-39.38
2022-08-12,431579730,0,0.04,326.842345,301.700627,-39.38
2022-08-15,431579730,0,0.04,327.001073,301.847144,-39.38
2022-08-16,431579730,0,0.04,327.147187,301.982019,-39.38
2022-08-17,431579730,0,0.04,327.240298,302.067967,-39.38
2022-08-18,431579730,0,0.04,327.342821,302.162604,-39.38
2022-08-19,431579730,0,0.04,327.35748,302.176135,-39.38
2022-08-22,431579730,0,0.04,327.257414,302.083767,-39.38
2022-08-23,431579730,0,0.04,327.15517,301.989388,-39.38
2022-08-24,431579730,0,0.04,327.066542,301.907577,-39.38
2022-08-25,431579730,0,0.04,327.05414,301.896129,-39.38
2022-08-26,431579730,0,0.04,326.864849,301.721399,-39.38
2022-08-29,431579730,0,0.04,326.637238,301.511297,-39.38
2022-08-30,431579730,0,0.04,326.366964,301.261813,-39.38
2022-08-31,431579730,0,0.04,326.076689,300.993867,-39.38
2022-09-01,431579730,0,0.04,325.79201,300.731087,-39.38
2022-09-02,431579730,0,0.04,325.454106,300.419175,-39.38
2022-09-06,431579730,0,0.04,325.092112,300.085026,-39.38
2022-09-07,431579730,0,0.04,324.81468,299.828936,-39.38
2022-09-08,431579730,0,0.04,324.561808,299.595515,-39.38
2022-09-09,431579730,0,0.04,324.400813,299.446904,-39.38
2022-09-12,431579730,0,0.04,324.29113,299.345658,-39.38
2022-09-13,431579730,0,0.04,323.953296,299.033812,-39.38
2022-09-14,431579730,0,0.04,323.651334,298.755078,-39.38
2022-09-15,431579730,0,0.04,323.286943,298.418717,-39.38
2022-09-16,431579730,0,0.04,322.903394,298.064671,-39.38
2022-09-19,431579730,0,0.04,322.555282,297.743338,-39.38
2022-09-20,431579730,0,0.04,322.180466,297.397353,-39.38
2022-09-21,431579730,0,0.04,321.740826,296.991532,-39.38
2022-09-22,431579730,0,0.04,321.259899,296.547599,-39.38
2022-09-23,431579730,0,0.04,320.723788,296.052727,-39.38
2022-09-26,431579730,0,0.04,320.17939,295.550206,-39.38
2022-09-27,431579730,0,0.04,319.643688,295.055712,-39.38
2022-09-28,431579730,0,0.04,319.188783,294.635799,-39.38
2022-09-29,431579730,0,0.04,318.63097,294.120895,-39.38
