Date,equity,cash,rebalanced,rebalance_reason,qld_value,qld_weight,qld_signal,qld_shares,qld_avg_price,qld_realized_pnl,qld_unrealized_pnl,drawdown_pct,qld_current_price,qld_return_pct,qld_contribution,total_pnl,total_return_pct
2011-11-17,13322746,13322746,False,,0,0.0,sell,0,0.0,3322746,0,-26.79,0.0,0.0,3322746,3322746.4877811465,33.227464877811464
2011-11-18,13322746,13322746,False,,0,0.0,sell,0,0.0,3322746,0,-26.79,0.0,0.0,3322746,3322746.4877811465,33.227464877811464
2011-11-21,13322746,13322746,False,,0,0.0,sell,0,0.0,3322746,0,-26.79,0.0,0.0,3322746,3322746.4877811465,33.227464877811464
2011-11-22,13322746,13322746,False,,0,0.0,sell,0,0.0,3322746,0,-26.79,0.0,0.0,3322746,3322746.4877811465,33.227464877811464
2011-11-23,13322746,13322746,False,,0,0.0,sell,0,0.0,3322746,0,-26.79,0.0,0.0,3322746,3322746.4877811465,33.227464877811464
2011-11-25,13322746,13322746,False,,0,0.0,sell,0,0.0,3322746,0,-26.79,0.0,0.0,3322746,3322746.4877811465,33.227464877811464
2011-11-28,13322746,13322746,False,,0,0.0,sell,0,0.0,3322746,0,-26.79,0.0,0.0,3322746,3322746.4877811465,33.227464877811464
2011-11-29,13322746,13322746,False,,0,0.0,sell,0,0.0,3322746,0,-26.79,0.0,0.0,3322746,3322746.4877811465,33.227464877811464
2011-11-30,13322746,13322746,False,,0,0.0,sell,0,0.0,3322746,0,-26.79,0.0,0.0,3322746,3322746.4877811465,33.227464877811464
2011-12-01,13322746,13322746,False,,0,0.0,sell,0,0.0,3322746,0,-26.79,0.0,0.0,3322746,3322746.4877811465,33.227464877811464
2011-12-02,13322746,13322746,False,,0,0.0,sell,0,0.0,3322746,0,-26.79,0.0,0.0,3322746,3322746.4877811465,33.227464877811464
2011-12-05,13322746,13322746,False,,0,0.0,sell,0,0.0,3322746,0,-26.79,0.0,0.0,3322746,3322746.4877811465,33.227464877811464
2011-12-06,13322746,13322746,False,,0,0.0,sell,0,0.0,3322746,0,-26.79,0.0,0.0,3322746,3322746.4877811465,33.227464877811464
2011-12-07,13322746,13322746,False,,0,0.0,sell,0,0.0,3322746,0,-26.79,0.0,0.0,3322746,3322746.4877811465,33.227464877811464
2011-12-08,13322746,13322746,False,,0,0.0,sell,0,0.0,3322746,0,-26.79,0.0,0.0,3322746,3322746.4877811465,33.227464877811464
2011-12-09,13322746,13322746,False,,0,0.0,sell,0,0.0,3322746,0,-26.79,0.0,0.0,3322746,3322746.4877811465,33.227464877811464
2011-12-12,13322746,13322746,False,,0,0.0,sell,0,0.0,3322746,0,-26.79,0.0,0.0,3322746,3322746.4877811465,33.227464877811464
2011-12-13,13322746,13322746,False,,0,0.0,sell,0,0.0,3322746,0,-26.79,0.0,0.0,3322746,3322746.4877811465,33.227464877811464
2011-12-14,13322746,13322746,False,,0,0.0,sell,0,0.0,3322746,0,-26.79,0.0,0.0,3322746,3322746.4877811465,33.227464877811464
2011-12-15,13322746,13322746,False,,0,0.0,sell,0,0.0,3322746,0,-26.79,0.0,0.0,3322746,3322746.4877811465,33.227464877811464
2011-12-16,13322746,13322746,False,,0,0.0,sell,0,0.0,3322746,0,-26.79,0.0,0.0,3322746,3322746.4877811465,33.227464877811464
2011-12-19,13322746,13322746,False,,0,0.0,sell,0,0.0,3322746,0,-26.79,0.0,0.0,3322746,3322746.4877811465,33.227464877811464
2011-12-20,13322746,13322746,False,,0,0.0,sell,0,0.0,3322746,0,-26.79,0.0,0.0,3322746,3322746.4877811465,33.227464877811464
2011-12-21,13322746,13322746,False,,0,0.0,sell,0,0.0,3322746,0,-26.79,0.0,0.0,3322746,3322746.4877811465,33.227464877811464
2011-12-22,13322746,13322746,False,,0,0.0,sell,0,0.0,3322746,0,-26.79,0.0,0.0,3322746,3322746.4877811465,33.227464877811464
2011-12-23,13322746,13322746,False,,0,0.0,sell,0,0.0,3322746,0,-26.79,0.0,0.0,3322746,3322746.4877811465,33.227464877811464
2011-12-27,13322746,13322746,False,,0,0.0,sell,0,0.0,3322746,0,-26.79,0.0,0.0,3322746,3322746.4877811465,33.227464877811464
2011-12-28,13322746,13322746,False,,0,0.0,sell,0,0.0,3322746,0,-26.79,0.0,0.0,3322746,3322746.4877811465,33.227464877811464
2011-12-29,13322746,13322746,False,,0,0.0,sell,0,0.0,3322746,0,-26.79,0.0,0.0,3322746,3322746.4877811465,33.227464877811464
2011-12-30,13322746,13322746,False,,0,0.0,sell,0,0.0,3322746,0,-26.79,0.0,0.0,3322746,3322746.4877811465,33.227464877811464
2012-01-03,13322746,13322746,False,,0,0.0,sell,0,0.0,3322746,0,-26.79,0.0,0.0,3322746,3322746.4877811465,33.227464877811464
2012-01-04,13322746,13322746,False,,0,0.0,sell,0,0.0,3322746,0,-26.79,0.0,0.0,3322746,3322746.4877811465,33.227464877811464
2012-01-05,13322746,13322746,False,,0,0.0,sell,0,0.0,3322746,0,-26.79,0.0,0.0,3322746,3322746.4877811465,33.227464877811464
2012-01-06,13322746,13322746,False,,0,0.0,sell,0,0.0,3322746,0,-26.79,0.0,0.0,3322746,3322746.4877811465,33.227464877811464
2012-01-09,13322746,13322746,False,,0,0.0,sell,0,0.0,3322746,0,-26.79,0.0,0.0,3322746,3322746.4877811465,33.227464877811464
2012-01-10,13322746,13322746,False,,0,0.0,buy,0,0.0,3322746,0,-26.79,0.0,0.0,3322746,3322746.4877811465,33.227464877811464
2012-01-11,13346379,0,False,,13346379,1.0,buy,9898833,1.345891,3322746,23633,-26.66,1.348278,0.17738477472606373,3346379,3346379.011179514,33.46379011179514
2012-01-12,13455187,0,False,,13455187,1.0,buy,9898833,1.345891,3322746,132440,-26.07,1.35927,0.994093059993495,3455187,3455186.983515512,34.551869835155124
2012-01-13,13359980,0,False,,13359980,1.0,buy,9898833,1.345891,3322746,37234,-26.59,1.349652,0.27947331038449263,3359980,3359980.0077215135,33.599800077215136
2012-01-17,13579110,0,False,,13579110,1.0,buy,9898833,1.345891,3322746,256364,-25.38,1.371789,1.924257818296149,3579110,3579110.473842511,35.79110473842511
2012-01-18,13941824,0,False,,13941823,1.0,buy,9898833,1.345891,3322746,619077,-23.39,1.408431,4.64676736967613,3941824,3941823.5126285125,39.418235126285126
